victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
binarysearch,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",1878.50,1842.00,0.981,2855.30,2853.10,0.999
binarysearch,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",1878.50,1843.00,0.981,2855.30,2272.30,0.796
binarysearch,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",1878.50,1862.00,0.991,2855.30,3017.40,1.057
binarysearch,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",1878.50,1845.50,0.982,2855.30,2327.00,0.815
binarysearch,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",1878.50,2108.00,1.122,2855.30,8657.30,3.032
binarysearch,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",1878.50,1836.00,0.977,2855.30,3471.40,1.216
binarysearch,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",1878.50,1884.00,1.003,2855.30,2535.30,0.888
binarysearch,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",1878.50,1870.00,0.995,2855.30,3017.50,1.057
binarysearch,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",1878.50,1824.00,0.971,2855.30,2851.00,0.998
binarysearch,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",1878.50,1931.50,1.028,2855.30,2560.70,0.897
binarysearch,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",1878.50,1881.00,1.001,2855.30,2509.20,0.879
binarysearch,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",1878.50,1866.50,0.994,2855.30,2872.90,1.006
binarysearch,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",1878.50,1849.50,0.985,2855.30,2455.50,0.860
binarysearch,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",1878.50,1828.50,0.973,2855.30,3172.50,1.111
bitcount,TIM_CACHE3,"CACHE CACHE CACHE",30413.00,33690.00,1.108,33637.70,39527.40,1.175
bitcount,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",30413.00,30209.50,0.993,33637.70,32361.00,0.962
bitcount,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",30413.00,40629.50,1.336,33637.70,47154.30,1.402
bitcount,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",30413.00,30703.00,1.010,33637.70,34835.80,1.036
bitcount,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",30413.00,31119.50,1.023,33637.70,34831.90,1.036
bitcount,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",30413.00,31817.00,1.046,33637.70,35516.70,1.056
bitcount,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",30413.00,41284.00,1.357,33637.70,41596.70,1.237
bitcount,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",30413.00,30638.00,1.007,33637.70,32236.70,0.958
bitcount,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",30413.00,30628.50,1.007,33637.70,32637.90,0.970
