# board=pi5
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[info] cpu0..cpu3 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=2400000
# cpu0=minver (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=163] cpu=0 bench=minver cycles=1385 instructions=4118 cache-misses=0
[sample=164] cpu=0 bench=minver cycles=1320 instructions=4118 cache-misses=0
[sample=165] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=166] cpu=0 bench=minver cycles=1334 instructions=4118 cache-misses=0
[sample=167] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=168] cpu=0 bench=minver cycles=1343 instructions=4118 cache-misses=0
[sample=169] cpu=0 bench=minver cycles=1356 instructions=4118 cache-misses=0
[sample=170] cpu=0 bench=minver cycles=10408 instructions=4118 cache-misses=4
[sample=171] cpu=0 bench=minver cycles=1349 instructions=4118 cache-misses=0
[sample=172] cpu=0 bench=minver cycles=1364 instructions=4118 cache-misses=0
[sample=173] cpu=0 bench=minver cycles=4654 instructions=4118 cache-misses=0
[sample=174] cpu=0 bench=minver cycles=1395 instructions=4118 cache-misses=0
[sample=175] cpu=0 bench=minver cycles=1327 instructions=4118 cache-misses=0
[sample=176] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=177] cpu=0 bench=minver cycles=1353 instructions=4118 cache-misses=0
[sample=178] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=179] cpu=0 bench=minver cycles=2957 instructions=4118 cache-misses=2
[sample=180] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=0
[sample=181] cpu=0 bench=minver cycles=2821 instructions=4118 cache-misses=0
[sample=182] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=183] cpu=0 bench=minver cycles=1350 instructions=4118 cache-misses=0
[sample=184] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=0
[sample=185] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=186] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=187] cpu=0 bench=minver cycles=1333 instructions=4118 cache-misses=0
[sample=188] cpu=0 bench=minver cycles=1440 instructions=4118 cache-misses=0
[sample=189] cpu=0 bench=minver cycles=4557 instructions=4118 cache-misses=1
[sample=190] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=191] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=192] cpu=0 bench=minver cycles=3885 instructions=4118 cache-misses=0
[sample=193] cpu=0 bench=minver cycles=1315 instructions=4118 cache-misses=0
[sample=194] cpu=0 bench=minver cycles=1322 instructions=4118 cache-misses=0
[sample=195] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=196] cpu=0 bench=minver cycles=1317 instructions=4118 cache-misses=0
[sample=197] cpu=0 bench=minver cycles=1395 instructions=4118 cache-misses=0
[sample=198] cpu=0 bench=minver cycles=1364 instructions=4118 cache-misses=0
[sample=199] cpu=0 bench=minver cycles=1304 instructions=4118 cache-misses=0
[sample=200] cpu=0 bench=minver cycles=3502 instructions=4118 cache-misses=0
[sample=201] cpu=0 bench=minver cycles=1322 instructions=4118 cache-misses=0
[sample=202] cpu=0 bench=minver cycles=8102 instructions=4118 cache-misses=0
[sample=203] cpu=0 bench=minver cycles=1325 instructions=4118 cache-misses=0
[sample=204] cpu=0 bench=minver cycles=1387 instructions=4118 cache-misses=0
[sample=205] cpu=0 bench=minver cycles=1309 instructions=4118 cache-misses=0
[sample=206] cpu=0 bench=minver cycles=3224 instructions=4118 cache-misses=0
[sample=207] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=208] cpu=0 bench=minver cycles=1383 instructions=4118 cache-misses=0
[sample=209] cpu=0 bench=minver cycles=1372 instructions=4118 cache-misses=0
[sample=210] cpu=0 bench=minver cycles=1306 instructions=4118 cache-misses=0
[sample=211] cpu=0 bench=minver cycles=2503 instructions=4118 cache-misses=0
[sample=212] cpu=0 bench=minver cycles=1333 instructions=4118 cache-misses=0
[sample=213] cpu=0 bench=minver cycles=5139 instructions=4118 cache-misses=2
[sample=214] cpu=0 bench=minver cycles=1383 instructions=4118 cache-misses=0
[sample=215] cpu=0 bench=minver cycles=1313 instructions=4118 cache-misses=0
[sample=216] cpu=0 bench=minver cycles=5521 instructions=4118 cache-misses=1
[sample=217] cpu=0 bench=minver cycles=5037 instructions=4118 cache-misses=2
[sample=218] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=219] cpu=0 bench=minver cycles=1342 instructions=4118 cache-misses=0
[sample=220] cpu=0 bench=minver cycles=1374 instructions=4118 cache-misses=0
[sample=221] cpu=0 bench=minver cycles=1326 instructions=4118 cache-misses=0
[sample=222] cpu=0 bench=minver cycles=7677 instructions=4118 cache-misses=3
[sample=223] cpu=0 bench=minver cycles=8105 instructions=4118 cache-misses=1
[sample=224] cpu=0 bench=minver cycles=3992 instructions=4118 cache-misses=0
[sample=225] cpu=0 bench=minver cycles=1362 instructions=4118 cache-misses=0
[sample=226] cpu=0 bench=minver cycles=1386 instructions=4118 cache-misses=0
[sample=227] cpu=0 bench=minver cycles=1336 instructions=4118 cache-misses=0
[sample=228] cpu=0 bench=minver cycles=1403 instructions=4118 cache-misses=0
[sample=229] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=230] cpu=0 bench=minver cycles=7393 instructions=4118 cache-misses=1
[sample=231] cpu=0 bench=minver cycles=2726 instructions=4118 cache-misses=1
[sample=232] cpu=0 bench=minver cycles=1335 instructions=4118 cache-misses=0
[sample=233] cpu=0 bench=minver cycles=1304 instructions=4118 cache-misses=0
[sample=234] cpu=0 bench=minver cycles=1341 instructions=4118 cache-misses=0
[sample=235] cpu=0 bench=minver cycles=2958 instructions=4118 cache-misses=1
[sample=236] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=237] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=0
[sample=238] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=239] cpu=0 bench=minver cycles=1359 instructions=4118 cache-misses=0
[sample=240] cpu=0 bench=minver cycles=2477 instructions=4118 cache-misses=1
[sample=241] cpu=0 bench=minver cycles=1335 instructions=4118 cache-misses=0
[sample=242] cpu=0 bench=minver cycles=2919 instructions=4118 cache-misses=1
[sample=243] cpu=0 bench=minver cycles=3047 instructions=4118 cache-misses=1
[sample=244] cpu=0 bench=minver cycles=1356 instructions=4118 cache-misses=0
[sample=245] cpu=0 bench=minver cycles=1382 instructions=4118 cache-misses=0
[sample=246] cpu=0 bench=minver cycles=3472 instructions=4118 cache-misses=1
[sample=247] cpu=0 bench=minver cycles=2458 instructions=4118 cache-misses=1
[sample=248] cpu=0 bench=minver cycles=4097 instructions=4118 cache-misses=1
[sample=249] cpu=0 bench=minver cycles=1408 instructions=4118 cache-misses=0
[sample=250] cpu=0 bench=minver cycles=1322 instructions=4118 cache-misses=0
[sample=251] cpu=0 bench=minver cycles=1391 instructions=4118 cache-misses=0
[sample=252] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=253] cpu=0 bench=minver cycles=1338 instructions=4118 cache-misses=0
[sample=254] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=255] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=256] cpu=0 bench=minver cycles=1379 instructions=4118 cache-misses=0
[sample=257] cpu=0 bench=minver cycles=1321 instructions=4118 cache-misses=0
[sample=258] cpu=0 bench=minver cycles=1327 instructions=4118 cache-misses=0
[sample=259] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=260] cpu=0 bench=minver cycles=1333 instructions=4118 cache-misses=0
[sample=261] cpu=0 bench=minver cycles=1350 instructions=4118 cache-misses=0
[sample=262] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=263] cpu=0 bench=minver cycles=6207 instructions=4118 cache-misses=0
[sample=264] cpu=0 bench=minver cycles=1333 instructions=4118 cache-misses=0
[sample=265] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=266] cpu=0 bench=minver cycles=10558 instructions=4118 cache-misses=1
[sample=267] cpu=0 bench=minver cycles=4287 instructions=4118 cache-misses=1
[sample=268] cpu=0 bench=minver cycles=1346 instructions=4118 cache-misses=0
[sample=269] cpu=0 bench=minver cycles=1334 instructions=4118 cache-misses=0
[sample=270] cpu=0 bench=minver cycles=5254 instructions=4118 cache-misses=2
[sample=271] cpu=0 bench=minver cycles=1366 instructions=4118 cache-misses=0
[sample=272] cpu=0 bench=minver cycles=1370 instructions=4118 cache-misses=0
[sample=273] cpu=0 bench=minver cycles=4961 instructions=4118 cache-misses=1
[sample=274] cpu=0 bench=minver cycles=1428 instructions=4118 cache-misses=0
[sample=275] cpu=0 bench=minver cycles=1354 instructions=4118 cache-misses=0
[sample=276] cpu=0 bench=minver cycles=1334 instructions=4118 cache-misses=0
