[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  (solo: all other cpus offlined)
[sample=95] cpu=0 bench=binarysearch cycles=1763 instructions=1257 cache-misses=1
[sample=96] cpu=0 bench=binarysearch cycles=1848 instructions=1257 cache-misses=0
[sample=97] cpu=0 bench=binarysearch cycles=1860 instructions=1257 cache-misses=1
[sample=98] cpu=0 bench=binarysearch cycles=1851 instructions=1257 cache-misses=1
[sample=99] cpu=0 bench=binarysearch cycles=1847 instructions=1257 cache-misses=2

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu0)
# event                          min                  max                  avg               median
  cycles                        1763                 7002              1933.01              1831.50
  instructions                  1257                 1262              1257.40              1257.00
  cache-misses                     0                   14                 1.40                 1.00
