[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=88] cpu=0 bench=fmref cycles=666128 instructions=417296 cache-misses=40
[sample=89] cpu=0 bench=fmref cycles=738607 instructions=417315 cache-misses=90
[sample=90] cpu=0 bench=fmref cycles=721078 instructions=417307 cache-misses=74
[sample=91] cpu=0 bench=fmref cycles=761980 instructions=417308 cache-misses=73
[sample=92] cpu=0 bench=fmref cycles=756246 instructions=417300 cache-misses=85
[sample=93] cpu=0 bench=fmref cycles=696428 instructions=417302 cache-misses=55
[sample=94] cpu=0 bench=fmref cycles=714966 instructions=417303 cache-misses=38
[sample=95] cpu=0 bench=fmref cycles=764455 instructions=417314 cache-misses=79
[sample=96] cpu=0 bench=fmref cycles=711876 instructions=417305 cache-misses=61
[sample=97] cpu=0 bench=fmref cycles=711692 instructions=417302 cache-misses=24
[sample=98] cpu=0 bench=fmref cycles=667121 instructions=417304 cache-misses=43
[sample=99] cpu=0 bench=fmref cycles=758073 instructions=417312 cache-misses=52

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      662659              1577308            749774.50            724690.00
  instructions                417294               454820            417677.82            417302.00
  cache-misses                    24                  140                73.57                74.50
