board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
imx8mm,iir,LLC+BUS,p99,1000,3584,4079,12815,11885,1.138113839,3.575613839,3.316127232,495,9231,8301,495,9231,0.8534855028,0.8992525187,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/iir__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/iir__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/iir__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/iir__LLC+BUS.txt
imx8mm,recursion,LLC+BUS,p99,1000,4509,5237,10013,9779,1.161454868,2.220669772,2.168773564,728,5504,5270,728,5504,0.84563543,0.9574854651,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/recursion__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/recursion__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/recursion__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/recursion__LLC+BUS.txt
imx8mm,ammunition,LLC+BUS,p99,1000,229123032,230005823,231535043,231897440,1.003852913,1.010527143,1.012108813,882791,2412011,2774408,882791,2412011,0.8420560629,1.150246827,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ammunition__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ammunition__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ammunition__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ammunition__LLC+BUS.txt
imx8mm,epic,LLC+BUS,p99,1000,5519893,5679885,6473197,6455447,1.02898462,1.172703348,1.169487706,159992,953304,935554,159992,953304,0.8403461433,0.981380546,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/epic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/epic__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/epic__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/epic__LLC+BUS.txt
imx8mm,lift,LLC+BUS,p99,1000,1395904,1448021,1565366,1581113,1.037335662,1.121399466,1.132680328,52117,169462,185209,52117,169462,0.8358598965,1.092923487,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lift__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__LLC+BUS.txt
imx8mm,deg2rad,LLC+BUS,p99,1000,17266,17412,23323,22338,1.008455925,1.35080505,1.293756516,146,6057,5072,146,6057,0.8176688699,0.8373782401,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/deg2rad__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/deg2rad__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/deg2rad__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/deg2rad__LLC+BUS.txt
imx8mm,binarysearch,LLC+BUS,p99,1000,1957,2247,8614,7614,1.148185999,4.401635156,3.890648952,290,6657,5657,290,6657,0.8143083345,0.8497821842,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__LLC+BUS.txt
imx8mm,fft,BUS+MEM,p99,1000,975442,1370892,1068128,1371136,1.40540596,1.095019489,1.405656103,395450,92686,395694,395450,92686,0.8106224495,1.000617019,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fft__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__BUS+MEM.txt
imx8mm,dijkstra,LLC+BUS,p99,1000,108335870,108583704,112567437,111958655,1.002287645,1.039059704,1.033440309,247834,4231567,3622785,247834,4231567,0.8087655024,0.8561332008,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/dijkstra__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/dijkstra__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/dijkstra__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/dijkstra__LLC+BUS.txt
imx8mm,isqrt,BUS+MEM,p99,1000,1433888,1574692,1459429,1567397,1.098197349,1.017812409,1.093109783,140804,25541,133509,140804,25541,0.8026030238,0.9481903923,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__BUS+MEM.txt
imx8mm,jfdctint,LLC+BUS,p99,1000,8550,8570,33869,28768,1.002339181,3.96128655,3.364678363,20,25319,20218,20,25319,0.7979004696,0.7985307477,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/jfdctint__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/jfdctint__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/jfdctint__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/jfdctint__LLC+BUS.txt
imx8mm,sha,LLC+BUS,p99,1000,5419481,5581965,6207643,6175446,1.029981469,1.145431269,1.139490294,162484,788162,755965,162484,788162,0.7952118875,0.9591492612,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/sha__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/sha__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/sha__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/sha__LLC+BUS.txt
imx8mm,huff_enc,BUS+MEM,p99,1000,1491238,2022237,1573382,1962853,1.356079311,1.055084433,1.316257365,530999,82144,471615,530999,82144,0.7691761954,0.8881655144,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/huff_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__BUS+MEM.txt
imx8mm,powerwindow,LLC+BUS,p99,1000,2885124,3227268,4108142,4064674,1.11858901,1.42390483,1.40883858,342144,1223018,1179550,342144,1223018,0.7536280589,0.9644584135,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/powerwindow__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/powerwindow__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/powerwindow__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/powerwindow__LLC+BUS.txt
imx8mm,adpcm_dec,BUS+MEM,p99,1000,315483,549058,330931,502598,1.740372698,1.048966188,1.593106443,233575,15448,187115,233575,15448,0.7513964574,0.8010917264,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__BUS+MEM.txt
imx8mm,quicksort,LLC+BUS,p99,1000,6007896,6311349,7210823,7139629,1.05050903,1.200224338,1.188374266,303453,1202927,1131733,303453,1202927,0.7512931664,0.9408160262,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/quicksort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/quicksort__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/quicksort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/quicksort__LLC+BUS.txt
imx8mm,petrinet,LLC+MEM,p99,1000,3785,5063,7190,7241,1.337648613,1.899603699,1.913077939,1278,3405,3456,1278,3405,0.7379884689,1.014977974,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__LLC+MEM.txt
imx8mm,susan,LLC+BUS,p99,1000,78833825,79095093,80219331,80031983,1.003314161,1.017575019,1.015198527,261268,1385506,1198158,261268,1385506,0.7275788906,0.8647800876,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/susan__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/susan__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/susan__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/susan__LLC+BUS.txt
imx8mm,test3,LLC+BUS,p99,1000,754689258,793030759,1003921434,963621019,1.050804355,1.330244764,1.276844753,38341501,249232176,208931761,38341501,249232176,0.7265329817,0.8383017167,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/test3__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/test3__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/test3__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/test3__LLC+BUS.txt
