board,bench,q,sample_count,C_solo,C_mix,slowdown_mix,delta_mix,strongest_single_delta,a_mix,prop2_ceiling,ceiling_headroom,source_solo,source_mix
imx8mm,h264_dec,p99,1000,522915,822349,1.572624614,299434,493659,0.606560399,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/h264_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/h264_dec__mix.txt
imx8mm,isqrt,p99,1000,1433888,1518841,1.059246608,84953,140804,0.6033422346,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__mix.txt
imx8mm,insertsort,p99,1000,4359,10347,2.373709566,5988,10022,0.5974855318,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/insertsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/insertsort__mix.txt
imx8mm,recursion,p99,1000,4509,7541,1.672432912,3032,5504,0.550872093,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/recursion__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/recursion__mix.txt
imx8mm,test3,p99,1000,754689258,887433888,1.175893096,132744630,249232176,0.5326143363,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/test3__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/test3__mix.txt
imx8mm,iir,p99,1000,3584,8406,2.345424107,4822,9231,0.5223702741,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/iir__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/iir__mix.txt
imx8mm,ammunition,p99,1000,229123032,230367094,1.005429668,1244062,2412011,0.5157779131,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ammunition__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ammunition__mix.txt
imx8mm,dijkstra,p99,1000,108335870,110464450,1.019647971,2128580,4231567,0.503024057,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/dijkstra__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/dijkstra__mix.txt
imx8mm,lms,p99,1000,460920,501790,1.088670485,40870,85977,0.4753596892,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lms__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lms__mix.txt
imx8mm,matrix1,p99,1000,20737,27031,1.303515455,6294,13349,0.4714959922,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/matrix1__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/matrix1__mix.txt
imx8mm,bsort,p99,1000,357855,370709,1.035919576,12854,27954,0.4598268584,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__mix.txt
imx8mm,jfdctint,p99,1000,8550,19949,2.333216374,11399,25319,0.4502152534,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/jfdctint__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/jfdctint__mix.txt
imx8mm,rad2deg,p99,1000,17221,20115,1.168050636,2894,6634,0.4362375641,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/rad2deg__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/rad2deg__mix.txt
imx8mm,complex_updates,p99,1000,3660,8472,2.314754098,4812,12001,0.4009665861,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/complex_updates__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/complex_updates__mix.txt
imx8mm,prime,p99,1000,1106,6033,5.454792043,4927,12480,0.3947916667,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/prime__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/prime__mix.txt
imx8mm,cjpeg_wrbmp,p99,1000,267652,287322,1.073490951,19670,52891,0.3718969201,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_wrbmp__mix.txt
imx8mm,fir2dim,p99,1000,13168,18582,1.411148238,5414,16118,0.3358977541,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fir2dim__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fir2dim__mix.txt
imx8mm,duff,p99,1000,4835,8644,1.787797311,3809,11822,0.3221959059,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/duff__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/duff__mix.txt
imx8mm,cover,p99,1000,6130,13293,2.168515498,7163,22239,0.3220918207,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cover__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cover__mix.txt
imx8mm,ndes,p99,1000,105844,122825,1.160434224,16981,57390,0.2958877853,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ndes__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ndes__mix.txt
imx8mm,countnegative,p99,1000,33974,38322,1.12798022,4348,16166,0.2689595447,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/countnegative__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/countnegative__mix.txt
imx8mm,statemate,p99,1000,106518,130599,1.226074466,24081,106026,0.2271235357,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/statemate__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/statemate__mix.txt
imx8mm,bitcount,p99,1000,30489,36659,1.202368067,6170,29205,0.2112651943,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__mix.txt
imx8mm,fac,p99,1000,837,2206,2.635603345,1369,7662,0.1786739755,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fac__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fac__mix.txt
imx8mm,minver,p99,1000,6663,14139,2.122017109,7476,50084,0.1492692277,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/minver__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/minver__mix.txt
imx8mm,ludcmp,p99,1000,10890,16629,1.526997245,5739,39945,0.1436725498,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ludcmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ludcmp__mix.txt
imx8mm,cosf,p99,1000,31333,37470,1.195863786,6137,51960,0.1181100847,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cosf__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cosf__mix.txt
imx8mm,petrinet,p99,1000,3785,11450,3.025099075,7665,71904,0.1066004673,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__mix.txt
