board,bench,q,best_channel,C_solo,C_best,slowdown_best,delta_best,source_solo,source_best
imx8mm,countnegative,p99,BUS,33974,50140,1.475834462,16166,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/countnegative__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/countnegative__BUS.txt
imx8mm,adpcm_enc,p99,BUS,307687,453183,1.472870157,145496,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__BUS.txt
imx8mm,powerwindow,p99,BUS,2885124,4108142,1.42390483,1223018,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/powerwindow__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/powerwindow__BUS.txt
imx8mm,fft,p99,BUS,975442,1370892,1.40540596,395450,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fft__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__BUS.txt
imx8mm,rad2deg,p99,BUS,17221,23855,1.385227339,6634,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/rad2deg__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/rad2deg__BUS.txt
imx8mm,huff_enc,p99,BUS,1491238,2022237,1.356079311,530999,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/huff_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__BUS.txt
imx8mm,deg2rad,p99,BUS,17266,23323,1.35080505,6057,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/deg2rad__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/deg2rad__BUS.txt
imx8mm,bitonic,p99,BUS,22111,29781,1.346886165,7670,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitonic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitonic__BUS.txt
imx8mm,test3,p99,BUS,754689258,1003921434,1.330244764,249232176,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/test3__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/test3__BUS.txt
imx8mm,quicksort,p99,BUS,6007896,7210823,1.200224338,1202927,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/quicksort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/quicksort__BUS.txt
imx8mm,cubic,p99,BUS,2122396,2546674,1.199905201,424278,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cubic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cubic__BUS.txt
imx8mm,gsm_dec,p99,BUS,3737120,4479296,1.19859571,742176,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/gsm_dec__BUS.txt
imx8mm,cjpeg_wrbmp,p99,BUS,267652,320543,1.197611077,52891,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__BUS.txt
imx8mm,lms,p99,BUS,460920,546897,1.186533455,85977,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lms__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__BUS.txt
imx8mm,epic,p99,BUS,5519893,6473197,1.172703348,953304,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/epic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/epic__BUS.txt
imx8mm,st,p99,BUS,321977,372792,1.157821832,50815,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/st__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__BUS.txt
imx8mm,sha,p99,BUS,5419481,6207643,1.145431269,788162,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/sha__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/sha__BUS.txt
imx8mm,gsm_enc,p99,BUS,11773470,13460009,1.143249102,1686539,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/gsm_enc__BUS.txt
imx8mm,lift,p99,BUS,1395904,1565366,1.121399466,169462,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lift__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__BUS.txt
imx8mm,isqrt,p99,BUS,1433888,1574692,1.098197349,140804,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__BUS.txt
imx8mm,cjpeg_transupp,p99,BUS,7182046,7755863,1.079896035,573817,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_transupp__BUS.txt
imx8mm,bsort,p99,BUS,357855,385809,1.078115438,27954,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS.txt
imx8mm,mpeg2,p99,BUS,565844971,589765892,1.04227469,23920921,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/mpeg2__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/mpeg2__BUS.txt
imx8mm,dijkstra,p99,BUS,108335870,112567437,1.039059704,4231567,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/dijkstra__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/dijkstra__BUS.txt
imx8mm,filterbank,p99,BUS,15598199,16086499,1.031304896,488300,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/filterbank__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/filterbank__BUS.txt
imx8mm,pm,p99,BUS,21245966,21907930,1.031157162,661964,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/pm__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/pm__BUS.txt
imx8mm,md5,p99,BUS,35960531,36693403,1.020379899,732872,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/md5__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/md5__BUS.txt
imx8mm,susan,p99,BUS,78833825,80219331,1.017575019,1385506,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/susan__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/susan__BUS.txt
imx8mm,ammunition,p99,BUS,229123032,231535043,1.010527143,2412011,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ammunition__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ammunition__BUS.txt
