board,bench,q,sample_count,a_mix,max_pair_dominant,max_pair,a_amp,source,C_solo,C_mix,source_mix,source_pair
imx8mm,countnegative,max,1000,1.0,1.0,LLC+BUS,1.0,pair,39675,56368,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/countnegative__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/countnegative__LLC+BUS.txt
imx8mm,deg2rad,max,1000,1.0,1.0,BUS+MEM,1.0,pair,20769,29460,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/deg2rad__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/deg2rad__BUS+MEM.txt
imx8mm,duff,max,1000,1.0,1.0,LLC+MEM,1.0,pair,9923,14360,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/duff__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/duff__LLC+MEM.txt
imx8mm,epic,max,1000,1.0,1.0,LLC+BUS,1.0,pair,5569683,6461162,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/epic__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/epic__LLC+BUS.txt
imx8mm,fmref,max,1000,1.0,1.0,LLC+BUS,1.0,pair,747886,1159343,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fmref__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fmref__LLC+BUS.txt
imx8mm,iir,max,1000,1.0,1.0,BUS+MEM,1.0,pair,8059,23070,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/iir__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/iir__BUS+MEM.txt
imx8mm,jfdctint,max,1000,1.0,1.0,LLC+BUS,1.0,pair,16896,55534,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/jfdctint__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/jfdctint__LLC+BUS.txt
imx8mm,ludcmp,max,1000,1.0,1.0,LLC+BUS,1.0,pair,22414,67296,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ludcmp__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ludcmp__LLC+BUS.txt
imx8mm,matrix1,max,1000,1.0,1.0,LLC+MEM,1.0,pair,25272,32915,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/matrix1__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/matrix1__LLC+MEM.txt
imx8mm,mpeg2,max,1000,1.0,1.0,LLC+BUS,1.0,pair,567056921,586001508,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/mpeg2__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/mpeg2__LLC+BUS.txt
imx8mm,ndes,max,1000,1.0,1.0,LLC+MEM,1.0,pair,126828,203674,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ndes__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ndes__LLC+MEM.txt
imx8mm,prime,max,1000,1.0,1.0,LLC+MEM,1.0,pair,6463,120395,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/prime__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/prime__LLC+MEM.txt
imx8mm,quicksort,max,1000,1.0,1.0,LLC+MEM,1.0,pair,6055110,6970618,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/quicksort__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/quicksort__LLC+MEM.txt
imx8mm,sha,max,1000,1.0,1.0,LLC+BUS,1.0,pair,5449187,6113414,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/sha__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/sha__LLC+BUS.txt
imx8mm,statemate,max,1000,1.0,1.0,LLC+MEM,1.0,pair,139370,252879,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/statemate__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/statemate__LLC+MEM.txt
imx8mm,susan,max,1000,1.0,1.0,LLC+BUS,1.0,pair,78968607,80214419,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/susan__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/susan__LLC+BUS.txt
imx8mm,test3,max,1000,1.0,1.0,LLC+BUS,1.0,pair,758256505,898978477,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/test3__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/test3__LLC+BUS.txt
