sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
443,125,375,5500,1750,1625,9375
444,125,375,5250,1625,1500,8875
445,125,375,5375,1625,1500,9000
446,125,375,5375,1625,1500,9000
447,125,375,5375,1625,1500,9000
448,125,375,5375,1625,1500,9000
449,125,375,5375,1625,1500,9000
450,125,500,5375,1625,1500,9125
451,125,375,5375,1625,1500,9000
452,125,375,5125,1625,1500,8750
453,125,375,5250,1625,1500,8875
454,125,375,5375,1625,1500,9000
455,125,375,5375,1625,1500,9000
456,125,375,5375,1625,1625,9125
457,125,375,5250,1750,1500,9000
458,125,375,5125,1625,1500,8750
459,125,375,5375,1625,1625,9125
460,125,375,5375,1625,1500,9000
461,0,375,5250,1750,1500,8875
462,125,375,5375,1625,1500,9000
463,125,500,5375,1750,1500,9250
464,125,375,5375,1750,1500,9125
465,125,375,5250,1625,1500,8875
466,125,500,5375,1750,1625,9375
467,0,375,5375,1750,1500,9000
468,125,375,5250,1625,1625,9000
469,125,375,5375,1625,1500,9000
470,125,500,5250,1625,1500,9000
471,125,375,5250,1625,1500,8875
472,125,375,5375,1625,1500,9000
473,0,375,5375,1625,1500,8875
474,125,375,5500,1625,1500,9125
475,125,375,5375,1625,1500,9000
476,125,375,5375,1750,1500,9125
477,125,375,5375,1625,1500,9000
478,125,375,5375,1625,1500,9000
479,125,375,5250,1625,1500,8875
480,125,500,5250,1625,1500,9000
481,125,375,5375,1625,1500,9000
482,125,375,5250,1625,1500,8875
483,125,375,5375,1625,1500,9000
484,125,375,5375,1625,1500,9000
485,125,375,5250,1625,1500,8875
486,125,500,5375,1625,1500,9125
487,125,375,5250,1625,1500,8875
488,125,375,5375,1625,1500,9000
489,125,375,5250,1625,1500,8875
490,125,500,5250,1625,1625,9125
491,125,375,5375,1750,1500,9125
492,125,375,5250,1625,1500,8875
493,125,375,5250,1625,1625,9000
494,125,375,5375,1625,1500,9000
495,125,500,5250,1625,1500,9000
496,125,375,5375,1750,1625,9250
497,125,375,5250,1625,1500,8875
498,125,375,5375,1750,1625,9250
499,125,375,5375,1750,1625,9250
