[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=61] cpu=0 bench=fmref cycles=655707 instructions=417301 cache-misses=28
[sample=62] cpu=0 bench=fmref cycles=660991 instructions=417296 cache-misses=25
[sample=63] cpu=0 bench=fmref cycles=654869 instructions=417298 cache-misses=16
[sample=64] cpu=0 bench=fmref cycles=655300 instructions=417302 cache-misses=26
[sample=65] cpu=0 bench=fmref cycles=656873 instructions=417302 cache-misses=16
[sample=66] cpu=0 bench=fmref cycles=721654 instructions=417306 cache-misses=61
[sample=67] cpu=0 bench=fmref cycles=755094 instructions=417301 cache-misses=72
[sample=68] cpu=0 bench=fmref cycles=658944 instructions=417297 cache-misses=35
[sample=69] cpu=0 bench=fmref cycles=659790 instructions=417300 cache-misses=22
[sample=70] cpu=0 bench=fmref cycles=772126 instructions=417304 cache-misses=73
[sample=71] cpu=0 bench=fmref cycles=722095 instructions=417302 cache-misses=36
[sample=72] cpu=0 bench=fmref cycles=669928 instructions=417299 cache-misses=32
[sample=73] cpu=0 bench=fmref cycles=727750 instructions=417306 cache-misses=67
[sample=74] cpu=0 bench=fmref cycles=667278 instructions=417297 cache-misses=48
[sample=75] cpu=0 bench=fmref cycles=666040 instructions=417297 cache-misses=37
[sample=76] cpu=0 bench=fmref cycles=665295 instructions=417300 cache-misses=24
[sample=77] cpu=0 bench=fmref cycles=668708 instructions=417302 cache-misses=65
[sample=78] cpu=0 bench=fmref cycles=660286 instructions=417298 cache-misses=34
[sample=79] cpu=0 bench=fmref cycles=662917 instructions=417300 cache-misses=34
[sample=80] cpu=0 bench=fmref cycles=657323 instructions=417298 cache-misses=25
[sample=81] cpu=0 bench=fmref cycles=657435 instructions=417299 cache-misses=25
[sample=82] cpu=0 bench=fmref cycles=819341 instructions=417315 cache-misses=108
[sample=83] cpu=0 bench=fmref cycles=687405 instructions=417304 cache-misses=53
[sample=84] cpu=0 bench=fmref cycles=769356 instructions=417305 cache-misses=86
[sample=85] cpu=0 bench=fmref cycles=736762 instructions=417296 cache-misses=58
[sample=86] cpu=0 bench=fmref cycles=669672 instructions=417301 cache-misses=38
[sample=87] cpu=0 bench=fmref cycles=657254 instructions=417298 cache-misses=28
[sample=88] cpu=0 bench=fmref cycles=657038 instructions=417300 cache-misses=16
[sample=89] cpu=0 bench=fmref cycles=657728 instructions=417299 cache-misses=24
[sample=90] cpu=0 bench=fmref cycles=741368 instructions=417310 cache-misses=68
[sample=91] cpu=0 bench=fmref cycles=670071 instructions=417296 cache-misses=41
[sample=92] cpu=0 bench=fmref cycles=663509 instructions=417296 cache-misses=32
[sample=93] cpu=0 bench=fmref cycles=688052 instructions=417303 cache-misses=67
[sample=94] cpu=0 bench=fmref cycles=695464 instructions=417298 cache-misses=53
[sample=95] cpu=0 bench=fmref cycles=660922 instructions=417299 cache-misses=48
[sample=96] cpu=0 bench=fmref cycles=666503 instructions=417303 cache-misses=66
[sample=97] cpu=0 bench=fmref cycles=664712 instructions=417299 cache-misses=37
[sample=98] cpu=0 bench=fmref cycles=656809 instructions=417291 cache-misses=26
[sample=99] cpu=0 bench=fmref cycles=657312 instructions=417301 cache-misses=25

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      654869               888397            682995.82            665011.50
  instructions                417291               454811            417676.30            417301.00
  cache-misses                    15                  126                49.46                53.00
