[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=57] cpu=0 bench=adpcm_dec cycles=317034 instructions=228470 cache-misses=45
[sample=58] cpu=0 bench=adpcm_dec cycles=316693 instructions=228469 cache-misses=46
[sample=59] cpu=0 bench=adpcm_dec cycles=317083 instructions=228469 cache-misses=45
[sample=60] cpu=0 bench=adpcm_dec cycles=316225 instructions=228471 cache-misses=40
[sample=61] cpu=0 bench=adpcm_dec cycles=317510 instructions=228470 cache-misses=48
[sample=62] cpu=0 bench=adpcm_dec cycles=317109 instructions=228470 cache-misses=45
[sample=63] cpu=0 bench=adpcm_dec cycles=316876 instructions=228470 cache-misses=41
[sample=64] cpu=0 bench=adpcm_dec cycles=317416 instructions=228471 cache-misses=51
[sample=65] cpu=0 bench=adpcm_dec cycles=318283 instructions=228470 cache-misses=63
[sample=66] cpu=0 bench=adpcm_dec cycles=322378 instructions=228468 cache-misses=48
[sample=67] cpu=0 bench=adpcm_dec cycles=317956 instructions=228469 cache-misses=46
[sample=68] cpu=0 bench=adpcm_dec cycles=320161 instructions=228468 cache-misses=48
[sample=69] cpu=0 bench=adpcm_dec cycles=317552 instructions=228470 cache-misses=45
[sample=70] cpu=0 bench=adpcm_dec cycles=317053 instructions=228469 cache-misses=52
[sample=71] cpu=0 bench=adpcm_dec cycles=317910 instructions=228469 cache-misses=48
[sample=72] cpu=0 bench=adpcm_dec cycles=317996 instructions=228470 cache-misses=46
[sample=73] cpu=0 bench=adpcm_dec cycles=316331 instructions=228468 cache-misses=51
[sample=74] cpu=0 bench=adpcm_dec cycles=317279 instructions=228469 cache-misses=45
[sample=75] cpu=0 bench=adpcm_dec cycles=317629 instructions=228469 cache-misses=42
[sample=76] cpu=0 bench=adpcm_dec cycles=318041 instructions=228469 cache-misses=42
[sample=77] cpu=0 bench=adpcm_dec cycles=322240 instructions=228470 cache-misses=52
[sample=78] cpu=0 bench=adpcm_dec cycles=322280 instructions=228469 cache-misses=53
[sample=79] cpu=0 bench=adpcm_dec cycles=317083 instructions=228469 cache-misses=47
[sample=80] cpu=0 bench=adpcm_dec cycles=317340 instructions=228470 cache-misses=41
[sample=81] cpu=0 bench=adpcm_dec cycles=318064 instructions=228470 cache-misses=54
[sample=82] cpu=0 bench=adpcm_dec cycles=316591 instructions=228469 cache-misses=44
[sample=83] cpu=0 bench=adpcm_dec cycles=317673 instructions=228468 cache-misses=47
[sample=84] cpu=0 bench=adpcm_dec cycles=318017 instructions=228470 cache-misses=52
[sample=85] cpu=0 bench=adpcm_dec cycles=317790 instructions=228468 cache-misses=53
[sample=86] cpu=0 bench=adpcm_dec cycles=317226 instructions=228469 cache-misses=55
[sample=87] cpu=0 bench=adpcm_dec cycles=316953 instructions=228469 cache-misses=54
[sample=88] cpu=0 bench=adpcm_dec cycles=317554 instructions=228469 cache-misses=42
[sample=89] cpu=0 bench=adpcm_dec cycles=317541 instructions=228469 cache-misses=48
