[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=45] cpu=0 bench=adpcm_dec cycles=323421 instructions=228468 cache-misses=55
[sample=46] cpu=0 bench=adpcm_dec cycles=323169 instructions=228469 cache-misses=60
[sample=47] cpu=0 bench=adpcm_dec cycles=322246 instructions=228469 cache-misses=59
[sample=48] cpu=0 bench=adpcm_dec cycles=324208 instructions=228468 cache-misses=50
[sample=49] cpu=0 bench=adpcm_dec cycles=330378 instructions=228467 cache-misses=45
[sample=50] cpu=0 bench=adpcm_dec cycles=325405 instructions=228468 cache-misses=50
[sample=51] cpu=0 bench=adpcm_dec cycles=323914 instructions=228467 cache-misses=44
[sample=52] cpu=0 bench=adpcm_dec cycles=326936 instructions=228468 cache-misses=49
[sample=53] cpu=0 bench=adpcm_dec cycles=322064 instructions=228469 cache-misses=56
[sample=54] cpu=0 bench=adpcm_dec cycles=330190 instructions=228471 cache-misses=60
[sample=55] cpu=0 bench=adpcm_dec cycles=322733 instructions=228468 cache-misses=58
[sample=56] cpu=0 bench=adpcm_dec cycles=324443 instructions=228468 cache-misses=46
[sample=57] cpu=0 bench=adpcm_dec cycles=328722 instructions=228467 cache-misses=39
[sample=58] cpu=0 bench=adpcm_dec cycles=326117 instructions=228468 cache-misses=49
[sample=59] cpu=0 bench=adpcm_dec cycles=328801 instructions=228468 cache-misses=45
[sample=60] cpu=0 bench=adpcm_dec cycles=319926 instructions=228467 cache-misses=50
[sample=61] cpu=0 bench=adpcm_dec cycles=336821 instructions=228469 cache-misses=56
[sample=62] cpu=0 bench=adpcm_dec cycles=326698 instructions=228469 cache-misses=53
[sample=63] cpu=0 bench=adpcm_dec cycles=326232 instructions=228467 cache-misses=52
[sample=64] cpu=0 bench=adpcm_dec cycles=325040 instructions=228468 cache-misses=53
[sample=65] cpu=0 bench=adpcm_dec cycles=330704 instructions=228468 cache-misses=50
[sample=66] cpu=0 bench=adpcm_dec cycles=323568 instructions=228467 cache-misses=48
[sample=67] cpu=0 bench=adpcm_dec cycles=327090 instructions=228467 cache-misses=47
[sample=68] cpu=0 bench=adpcm_dec cycles=323149 instructions=228467 cache-misses=41
[sample=69] cpu=0 bench=adpcm_dec cycles=328345 instructions=228470 cache-misses=53
[sample=70] cpu=0 bench=adpcm_dec cycles=329293 instructions=228467 cache-misses=53
[sample=71] cpu=0 bench=adpcm_dec cycles=321282 instructions=228470 cache-misses=50
[sample=72] cpu=0 bench=adpcm_dec cycles=327100 instructions=228470 cache-misses=54
[sample=73] cpu=0 bench=adpcm_dec cycles=321222 instructions=228469 cache-misses=53
[sample=74] cpu=0 bench=adpcm_dec cycles=323172 instructions=228467 cache-misses=48
[sample=75] cpu=0 bench=adpcm_dec cycles=323673 instructions=228468 cache-misses=52
[sample=76] cpu=0 bench=adpcm_dec cycles=322298 instructions=228468 cache-misses=48
[sample=77] cpu=0 bench=adpcm_dec cycles=331691 instructions=228467 cache-misses=51
[sample=78] cpu=0 bench=adpcm_dec cycles=323677 instructions=228470 cache-misses=47
[sample=79] cpu=0 bench=adpcm_dec cycles=327683 instructions=228467 cache-misses=48
[sample=80] cpu=0 bench=adpcm_dec cycles=330166 instructions=228468 cache-misses=49
[sample=81] cpu=0 bench=adpcm_dec cycles=320906 instructions=228469 cache-misses=48
[sample=82] cpu=0 bench=adpcm_dec cycles=318492 instructions=228468 cache-misses=45
[sample=83] cpu=0 bench=adpcm_dec cycles=318148 instructions=228467 cache-misses=41
[sample=84] cpu=0 bench=adpcm_dec cycles=319090 instructions=228468 cache-misses=47
[sample=85] cpu=0 bench=adpcm_dec cycles=322191 instructions=228468 cache-misses=61
[sample=86] cpu=0 bench=adpcm_dec cycles=317659 instructions=228467 cache-misses=59
[sample=87] cpu=0 bench=adpcm_dec cycles=319047 instructions=228467 cache-misses=51
[sample=88] cpu=0 bench=adpcm_dec cycles=317604 instructions=228468 cache-misses=47
[sample=89] cpu=0 bench=adpcm_dec cycles=322051 instructions=228467 cache-misses=58
[sample=90] cpu=0 bench=adpcm_dec cycles=327655 instructions=228468 cache-misses=52
[sample=91] cpu=0 bench=adpcm_dec cycles=327361 instructions=228467 cache-misses=52
[sample=92] cpu=0 bench=adpcm_dec cycles=326400 instructions=228468 cache-misses=49
[sample=93] cpu=0 bench=adpcm_dec cycles=327835 instructions=228468 cache-misses=52
[sample=94] cpu=0 bench=adpcm_dec cycles=333891 instructions=228467 cache-misses=55
[sample=95] cpu=0 bench=adpcm_dec cycles=325295 instructions=228469 cache-misses=56
[sample=96] cpu=0 bench=adpcm_dec cycles=375192 instructions=228469 cache-misses=49
[sample=97] cpu=0 bench=adpcm_dec cycles=327348 instructions=228467 cache-misses=47
[sample=98] cpu=0 bench=adpcm_dec cycles=321995 instructions=228469 cache-misses=51
[sample=99] cpu=0 bench=adpcm_dec cycles=319608 instructions=228469 cache-misses=50

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      317604               474551            333021.41            325350.00
  instructions                228467               228475            228468.24            228468.00
  cache-misses                    39                   68                50.79                50.00
