board,bench,q,sample_count,C_solo,C_mix,slowdown_mix,delta_mix,strongest_single_delta,a_mix,prop2_ceiling,ceiling_headroom,source_solo,source_mix
pi5,gsm_enc,p99,1000,3539189,3937618,1.112576356,398429,522894,0.761968965,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_enc__mix.txt
pi5,mpeg2,p99,1000,263223434,271634040,1.031952345,8410606,11086606,0.758627663,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/mpeg2__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/mpeg2__mix.txt
pi5,countnegative,p99,1000,9888,17532,1.773058252,7644,10128,0.7547393365,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/countnegative__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/countnegative__mix.txt
pi5,ludcmp,p99,1000,2217,14237,6.421741092,12020,15940,0.7540777917,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/ludcmp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/ludcmp__mix.txt
pi5,rad2deg,p99,1000,3788,7663,2.022967265,3875,5213,0.7433339728,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/rad2deg__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/rad2deg__mix.txt
pi5,adpcm_enc,p99,1000,177709,229147,1.289450731,51438,70285,0.7318489009,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_enc__mix.txt
pi5,susan,p99,1000,31233146,32327932,1.035052057,1094786,1506824,0.7265520061,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/susan__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/susan__mix.txt
pi5,lift,p99,1000,487496,508171,1.042410604,20675,28596,0.7230032172,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/lift__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/lift__mix.txt
pi5,adpcm_dec,p99,1000,181710,232363,1.278757361,50653,70236,0.7211828692,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_dec__mix.txt
pi5,gsm_dec,p99,1000,1852537,1975946,1.066616213,123409,171266,0.7205691731,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_dec__mix.txt
pi5,test3,p99,1000,212528773,249667525,1.174746937,37138752,52452281,0.7080483688,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/test3__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/test3__mix.txt
pi5,fft,p99,1000,350302,492120,1.404844962,141818,202410,0.7006472012,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/fft__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/fft__mix.txt
pi5,bitcount,p99,1000,14400,33754,2.344027778,19354,28589,0.6769736612,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitcount__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitcount__mix.txt
pi5,ndes,p99,1000,29908,74755,2.499498462,44847,67641,0.6630150353,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/ndes__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/ndes__mix.txt
pi5,matrix1,p99,1000,9381,16828,1.79383861,7447,11385,0.6541062802,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/matrix1__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/matrix1__mix.txt
pi5,quicksort,p99,1000,3064868,3492547,1.139542388,427679,667020,0.6411786753,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/quicksort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/quicksort__mix.txt
pi5,cjpeg_transupp,p99,1000,2267113,2354259,1.038439196,87146,136072,0.6404403551,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_transupp__mix.txt
pi5,huff_enc,p99,1000,562407,743307,1.32165318,180900,285707,0.6331661457,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/huff_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/huff_enc__mix.txt
pi5,binarysearch,p99,1000,744,4457,5.990591398,3713,5877,0.6317849243,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/binarysearch__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/binarysearch__mix.txt
pi5,isqrt,p99,1000,578871,595643,1.02897364,16772,26820,0.6253542133,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__mix.txt
pi5,cubic,p99,1000,1190701,1226358,1.029946225,35657,57075,0.624739378,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/cubic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/cubic__mix.txt
pi5,petrinet,p99,1000,860,13688,15.91627907,12828,20632,0.6217526173,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/petrinet__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/petrinet__mix.txt
pi5,cover,p99,1000,3737,24215,6.479796628,20478,33469,0.6118497714,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/cover__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/cover__mix.txt
pi5,prime,p99,1000,374,4578,12.24064171,4204,6954,0.6045441473,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/prime__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/prime__mix.txt
pi5,fir2dim,p99,1000,5810,14528,2.500516351,8718,14632,0.5958173866,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/fir2dim__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/fir2dim__mix.txt
pi5,recursion,p99,1000,1316,6219,4.725683891,4903,8689,0.5642766717,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/recursion__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/recursion__mix.txt
pi5,cjpeg_wrbmp,p99,1000,78151,102509,1.311678673,24358,45045,0.5407481407,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_wrbmp__mix.txt
pi5,duff,p99,1000,2332,5739,2.460977702,3407,6549,0.5202320965,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/duff__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/duff__mix.txt
pi5,statemate,p99,1000,23926,47695,1.993438101,23769,46290,0.5134802333,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/statemate__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/statemate__mix.txt
pi5,cosf,p99,1000,14470,24239,1.67512094,9769,23005,0.4246468159,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/cosf__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/cosf__mix.txt
