board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
pi5,pm,BUS+MEM,max,1000,8204038,8377829,8544923,8533181,1.021183593,1.04155088,1.040119634,173791,340885,329143,173791,340885,0.639514957,0.9655543658,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__BUS+MEM.txt
pi5,bsort,LLC+MEM,max,1000,81095,112969,100281,113325,1.393045194,1.236586719,1.397435107,31874,19186,32230,31874,19186,0.6312181747,1.011168978,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/bsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__LLC+MEM.txt
pi5,dijkstra,LLC+MEM,max,1000,42187945,46479559,49676720,49606044,1.101726074,1.177509831,1.175834566,4291614,7488775,7418099,4291614,7488775,0.6296989853,0.9905624084,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__LLC+MEM.txt
pi5,matrix1,BUS+MEM,max,1000,10103,22923,43683,39035,2.268930021,4.323765218,3.86370385,12820,33580,28932,12820,33580,0.6235344828,0.8615842764,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/matrix1__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/matrix1__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/matrix1__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/matrix1__BUS+MEM.txt
pi5,ammunition,LLC+MEM,max,1000,81086361,82258612,83112392,83075928,1.014456821,1.024986089,1.024536395,1172251,2026031,1989567,1172251,2026031,0.6220736633,0.9820022497,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/ammunition__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ammunition__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ammunition__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ammunition__LLC+MEM.txt
pi5,lms,LLC+BUS,max,1000,164962,213046,205792,219329,1.291485312,1.247511548,1.329572871,48084,40830,54367,48084,40830,0.6114560137,1.130667166,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/lms__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lms__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lms__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lms__LLC+BUS.txt
pi5,pm,LLC+MEM,max,1000,8204038,8453209,8544923,8563573,1.030371751,1.04155088,1.043824151,249171,340885,359535,249171,340885,0.6093235218,1.054710533,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__LLC+MEM.txt
pi5,filterbank,LLC+MEM,max,1000,3291036,3833118,3709956,3872965,1.164714698,1.127291224,1.176822435,542082,418920,581929,542082,418920,0.6055440051,1.073507329,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__LLC+MEM.txt
pi5,bitonic,LLC+BUS,max,1000,13622,44038,24272,38002,3.232858611,1.781823521,2.789751872,30416,10650,24380,30416,10650,0.5936784688,0.8015518148,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__LLC+BUS.txt
pi5,statemate,LLC+BUS,max,1000,29974,78396,66287,78900,2.615466738,2.211483286,2.63228131,48422,36313,48926,48422,36313,0.5774001298,1.010408492,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/statemate__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__LLC+BUS.txt
pi5,statemate,LLC+MEM,max,1000,29974,78396,95230,95266,2.615466738,3.177086809,3.178287849,48422,65256,65292,48422,65256,0.5743591548,1.000551673,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/statemate__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/statemate__LLC+MEM.txt
pi5,bsort,BUS+MEM,max,1000,81095,107544,100281,107226,1.326148345,1.236586719,1.322227018,26449,19186,26131,26449,19186,0.5726087433,0.9879768611,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/bsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__BUS+MEM.txt
pi5,g723_enc,LLC+MEM,max,1000,331227,445363,420770,447229,1.344585435,1.270337261,1.350219034,114136,89543,116002,114136,89543,0.5695334325,1.016348917,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/g723_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/g723_enc__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/g723_enc__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/g723_enc__LLC+MEM.txt
pi5,rad2deg,LLC+MEM,max,1000,5594,24091,29654,29738,4.306578477,5.301036825,5.316052914,18497,24060,24144,18497,24060,0.5673332237,1.003491272,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/rad2deg__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/rad2deg__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/rad2deg__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/rad2deg__LLC+MEM.txt
pi5,ndes,LLC+BUS,max,1000,40068,112196,113035,122226,2.800139762,2.821079165,3.050464211,72128,72967,82158,72128,72967,0.5662359144,1.125961051,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/ndes__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__LLC+BUS.txt
pi5,test3,BUS+MEM,max,1000,212537734,239804646,266026530,258142929,1.128292099,1.251667292,1.21457458,27266912,53488796,45605195,27266912,53488796,0.5647302975,0.8526121059,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/test3__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/test3__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/test3__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/test3__BUS+MEM.txt
pi5,pm,LLC+BUS,max,1000,8204038,8453209,8377829,8442111,1.030371751,1.021183593,1.029019003,249171,173791,238073,249171,173791,0.5628708962,0.9554603064,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__LLC+BUS.txt
pi5,cubic,BUS+MEM,max,1000,1204015,1250695,1272308,1268549,1.038770281,1.056721054,1.053599,46680,68293,64534,46680,68293,0.5612970002,0.9449577556,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/cubic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__BUS+MEM.txt
pi5,filterbank,BUS+MEM,max,1000,3291036,3611779,3709956,3706153,1.097459584,1.127291224,1.126135661,320743,418920,415117,320743,418920,0.5612245036,0.9909218944,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__BUS+MEM.txt
pi5,st,BUS+MEM,max,1000,100546,155169,219133,197120,1.54326378,2.179430311,1.960495694,54623,118587,96574,54623,118587,0.5575544137,0.8143725703,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/st__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/st__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/st__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/st__BUS+MEM.txt
pi5,cubic,LLC+MEM,max,1000,1204015,1269295,1272308,1278440,1.054218594,1.056721054,1.061814014,65280,68293,74425,65280,68293,0.5571859582,1.089789583,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/cubic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__LLC+MEM.txt
pi5,filterbank,LLC+BUS,max,1000,3291036,3833118,3611779,3771660,1.164714698,1.097459584,1.146040335,542082,320743,480624,542082,320743,0.55703532,0.8866260086,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__LLC+BUS.txt
pi5,fac,LLC+MEM,max,1000,2609,23727,12221,19297,9.094289,4.68417018,7.396320429,21118,9612,16688,21118,9612,0.5430523918,0.7902263472,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/fac__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fac__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fac__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fac__LLC+MEM.txt
pi5,adpcm_dec,BUS+MEM,max,1000,186299,232498,271248,257155,1.247983081,1.45598205,1.380334838,46199,84949,70856,46199,84949,0.540275109,0.8341004603,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/adpcm_dec__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/adpcm_dec__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/adpcm_dec__BUS+MEM.txt
pi5,dijkstra,BUS+MEM,max,1000,42187945,46574228,49676720,48583841,1.103970056,1.177509831,1.151604825,4386283,7488775,6395896,4386283,7488775,0.5385991378,0.854064383,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__BUS+MEM.txt
pi5,bitcount,BUS+MEM,max,1000,17255,38313,81150,62691,2.220399884,4.702984642,3.633207766,21058,63895,45436,21058,63895,0.5348369098,0.7111041553,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitcount__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitcount__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitcount__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitcount__BUS+MEM.txt
pi5,complex_updates,BUS+MEM,max,1000,3508,14799,25880,21452,4.218643101,7.377423033,6.115165336,11291,22372,17944,11291,22372,0.5330481538,0.8020740211,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/complex_updates__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__BUS+MEM.txt
pi5,powerwindow,LLC+MEM,max,1000,829464,1318555,1386410,1385271,1.589647049,1.67145289,1.670079714,489091,556946,555807,489091,556946,0.5313454495,0.9979549184,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/powerwindow__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__LLC+MEM.txt
pi5,ndes,BUS+MEM,max,1000,40068,113035,133359,128025,2.821079165,3.328316861,3.195193172,72967,93291,87957,72967,93291,0.5290392041,0.9428240666,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/ndes__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__BUS+MEM.txt
pi5,md5,BUS+MEM,max,1000,19607706,19680421,19784490,19739004,1.003708491,1.009016047,1.006696245,72715,176784,131298,72715,176784,0.5262465982,0.7427029595,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/md5__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__BUS+MEM.txt
