tag	phase	bg_workers	defines	ratio_adpcm_dec	ratio_binarysearch	ratio_fir2dim	ratio_fmref	ratio_iir	ratio_insertsort
A_p1024_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1024 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0273	1.1038	1.0573	1.0116	1.1372	1.1227
A_p1024_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1024 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0203	1.2368	1.2600	1.0205	1.4069	1.2649
A_p1024_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1024 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0455	1.7648	1.2283	1.0203	1.4421	1.6592
A_p1024_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1024 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0110	1.0107	1.0496	1.0081	1.2090	1.1784
A_p1536_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1536 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0246	1.1101	1.0529	1.0136	1.1264	1.6191
A_p1536_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1536 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0410	1.1027	1.2018	1.0209	1.4900	1.5290
A_p1536_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1536 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0387	1.7336	1.1926	1.0221	1.5565	1.4312
A_p1536_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=1536 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0407	1.3968	1.1235	1.0185	1.4443	1.5417
A_p2048_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0400	1.9311	1.1891	1.0169	1.1234	1.1155
A_p2048_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0389	1.8111	1.2013	1.0203	1.4678	1.5410
A_p2048_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0423	1.8041	1.2274	1.0209	1.4986	1.6260
A_p2048_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0372	1.3870	1.0298	1.0161	1.0882	1.5270
A_p3072_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=3072 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0373	1.1435	1.0839	1.0104	1.3832	1.6051
A_p3072_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=3072 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0242	1.8285	1.2179	1.0199	1.4502	1.5129
A_p3072_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=3072 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0424	1.9188	1.2348	1.0220	1.4100	1.6769
A_p3072_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=3072 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0397	1.8449	1.1206	1.0202	1.5017	1.6488
A_p4096_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=4096 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0405	1.0515	1.1933	1.0208	1.4051	1.6708
A_p4096_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=4096 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0433	1.7802	1.2207	1.0216	1.4433	1.3836
A_p4096_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=4096 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0439	1.8495	1.2387	1.0192	1.5107	1.5310
A_p4096_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=4096 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0460	1.4064	1.0543	1.0199	1.5515	1.6015
A_p8192_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=8192 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0401	1.1928	1.1348	1.0202	1.2145	1.5707
A_p8192_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=8192 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0435	1.5854	1.2376	1.0208	1.4123	1.6289
A_p8192_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=8192 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0385	1.8863	1.2251	1.0235	1.4151	1.6377
A_p8192_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=8192 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0718	1.3109	1.2468	1.0419	1.4815	1.7113
A_p16384_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0399	1.2071	1.1994	1.0186	1.4052	1.5992
A_p16384_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0068	1.0433	1.0876	1.0113	1.1328	1.2185
A_p16384_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0515	1.4714	1.0700	1.0345	1.4345	1.5699
A_p16384_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.3335	1.0922	1.2807	1.0512	1.0873	3.1206
B_sz2_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=2 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0190	1.2457	1.0472	1.0118	1.4149	1.7139
B_sz4_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=4 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0436	1.4318	1.2376	1.0194	1.4484	1.5664
B_sz6_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=6 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0406	1.8087	1.2414	1.0186	1.5055	1.5405
B_sz8_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0406	1.0586	1.1696	1.0192	1.4538	1.7068
B_sz10_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=10 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0408	1.4172	1.1594	1.0225	1.0902	1.4170
B_sz12_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=12 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0428	1.8042	1.2251	1.0223	1.4290	1.5709
B_sz16_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=16 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0420	2.0525	1.2144	1.0195	1.4665	1.6347
B_sz24_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=24 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0191	1.0167	1.2118	1.0183	1.4623	1.6790
B_sz32_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=32 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0413	1.2901	1.1980	1.0073	1.0843	1.1589
B_sz48_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=48 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0384	1.7565	1.2503	1.0184	1.4747	1.6957
B_sz64_p2048_i2	PHASE_B_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=64 -DMEM_PAGE_SIZE=2048 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0400	2.0124	1.2102	1.0209	1.3279	1.5014
C_x1				1.0050	1.1610	1.0390	1.0030	1.0422	1.1247
C_x2				1.0228	1.0924	0.9927	1.0028	1.1847	1.0814
C_x3				1.0151	1.8621	1.1838	1.0215	1.4116	1.4709
C_x4				1.0401	1.8458	1.1964	1.0191	1.2213	1.1601
C_x5				1.0388	1.9447	1.1897	1.0209	1.4675	1.6451
C_x6				1.0238	1.2161	1.0659	1.0064	1.4327	1.6803
