victim,mix,attackers,baseline_med,bg_med,slowdown_med,baseline_avg,bg_avg,slowdown_avg
minver,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",6498.00,8267.50,1.272,7855.25,21726.08,2.766
minver,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",6498.00,6887.00,1.060,7855.25,10222.50,1.301
minver,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",6498.00,6904.00,1.062,7855.25,13688.00,1.743
minver,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",6498.00,6740.50,1.037,7855.25,9843.58,1.253
minver,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",6498.00,7173.50,1.104,7855.25,11829.92,1.506
minver,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",6498.00,7640.50,1.176,7855.25,25408.58,3.235
minver,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",6498.00,7561.50,1.164,7855.25,21002.33,2.674
minver,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",6498.00,6465.50,0.995,7855.25,9264.83,1.179
ludcmp,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",10739.50,10608.00,0.988,12874.67,13191.08,1.025
ludcmp,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",10739.50,10657.00,0.992,12874.67,12990.92,1.009
ludcmp,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",10739.50,11675.50,1.087,12874.67,17359.92,1.348
ludcmp,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",10739.50,11521.50,1.073,12874.67,24223.00,1.881
ludcmp,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",10739.50,10699.50,0.996,12874.67,12184.58,0.946
ludcmp,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",10739.50,10546.50,0.982,12874.67,13518.67,1.050
ludcmp,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",10739.50,13721.00,1.278,12874.67,17921.33,1.392
ludcmp,H16_CACHE_MEM_BUS,"CACHE MEM BUS",10739.50,13511.00,1.258,12874.67,26980.00,2.096
ludcmp,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",10739.50,25202.00,2.347,12874.67,23137.67,1.797
ludcmp,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",10739.50,11125.00,1.036,12874.67,16777.17,1.303
ludcmp,H4_TUNED_KILLER,"CACHE BUS MEM",10739.50,10633.00,0.990,12874.67,12837.33,0.997
ludcmp,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",10739.50,11215.00,1.044,12874.67,15207.92,1.181
ludcmp,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",10739.50,12988.00,1.209,12874.67,18577.92,1.443
ludcmp,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",10739.50,10788.50,1.005,12874.67,13483.33,1.047
ludcmp,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",10739.50,11057.50,1.030,12874.67,15238.50,1.184
ludcmp,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",10739.50,10684.50,0.995,12874.67,12440.75,0.966
ludcmp,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",10739.50,10690.00,0.995,12874.67,12195.00,0.947
