# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=2400000
# cpu0=gsm_dec (measured)  cpu1=MTH_CACHE
[sample=91] cpu=0 bench=gsm_dec cycles=1788919 instructions=2784038 cache-misses=15
[sample=92] cpu=0 bench=gsm_dec cycles=1729848 instructions=2784038 cache-misses=15
[sample=93] cpu=0 bench=gsm_dec cycles=1762103 instructions=2784038 cache-misses=16
[sample=94] cpu=0 bench=gsm_dec cycles=1786023 instructions=2784038 cache-misses=10
[sample=95] cpu=0 bench=gsm_dec cycles=1812450 instructions=2784038 cache-misses=11
[sample=96] cpu=0 bench=gsm_dec cycles=1837269 instructions=2784038 cache-misses=12
[sample=97] cpu=0 bench=gsm_dec cycles=1845242 instructions=2784038 cache-misses=11
[sample=98] cpu=0 bench=gsm_dec cycles=1847911 instructions=2784038 cache-misses=15
[sample=99] cpu=0 bench=gsm_dec cycles=1836703 instructions=2784038 cache-misses=11

# Statistics over 100 samples on cpu0 bench=gsm_dec (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                     1729848              1861157           1833789.21           1838749.50
  instructions               2783612              2784038           2784016.74           2784038.00
  cache-misses                     6                  108                14.52                11.00

--STDERR--
[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 2400000 kHz via 'performance' governor (user-specified)
