[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=53] cpu=0 bench=binarysearch cycles=4282 instructions=1258 cache-misses=8
[sample=54] cpu=0 bench=binarysearch cycles=13912 instructions=1258 cache-misses=9
[sample=55] cpu=0 bench=binarysearch cycles=5888 instructions=1257 cache-misses=5
[sample=56] cpu=0 bench=binarysearch cycles=3360 instructions=1258 cache-misses=9
[sample=57] cpu=0 bench=binarysearch cycles=3284 instructions=1258 cache-misses=5
[sample=58] cpu=0 bench=binarysearch cycles=3569 instructions=1258 cache-misses=5
[sample=59] cpu=0 bench=binarysearch cycles=2838 instructions=1258 cache-misses=7
[sample=60] cpu=0 bench=binarysearch cycles=6399 instructions=1258 cache-misses=8
[sample=61] cpu=0 bench=binarysearch cycles=5232 instructions=1257 cache-misses=6
[sample=62] cpu=0 bench=binarysearch cycles=13915 instructions=1257 cache-misses=6
[sample=63] cpu=0 bench=binarysearch cycles=13965 instructions=1257 cache-misses=5
[sample=64] cpu=0 bench=binarysearch cycles=3833 instructions=1258 cache-misses=8
[sample=65] cpu=0 bench=binarysearch cycles=3327 instructions=1258 cache-misses=6
[sample=66] cpu=0 bench=binarysearch cycles=3968 instructions=1257 cache-misses=9
[sample=67] cpu=0 bench=binarysearch cycles=3055 instructions=1257 cache-misses=7
[sample=68] cpu=0 bench=binarysearch cycles=12983 instructions=1258 cache-misses=6
[sample=69] cpu=0 bench=binarysearch cycles=12052 instructions=1257 cache-misses=7
[sample=70] cpu=0 bench=binarysearch cycles=4715 instructions=1257 cache-misses=5
[sample=71] cpu=0 bench=binarysearch cycles=4045 instructions=1258 cache-misses=7
