tag	phase	bg_workers	defines	ratio_adpcm_dec	ratio_binarysearch	ratio_fir2dim	ratio_fmref	ratio_iir	ratio_insertsort
PA_64K_s521_l100	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=521u  -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64	1.0231	1.0742	0.9945	1.0457	0.9981	1.0023
PA_64K_s17_l0	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=0   -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64	1.1835	4.5020	2.8176	1.1259	4.6103	5.5686
PA_64K_s17_l50	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=50  -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64	1.1582	0.9834	1.0137	1.0180	1.0488	1.0591
PA_64K_s17_l100_cl128	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=128	1.0792	1.0066	1.0053	1.0455	0.9974	1.0581
PL_r0_p6_i4K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=0   -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096	1.0007	1.0003	0.9981	1.0000	1.0268	1.0485
PL_r50_p6_i4K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096	0.9996	1.0986	0.9947	0.9999	1.0345	1.0440
PL_r100_p6_i4K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=100 -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096	0.9996	0.9982	1.0215	0.9999	1.0231	1.0497
PL_r100_p6_i16K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=100 -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=16384	1.0004	1.0122	1.0253	1.0006	1.0364	1.0654
PL_r100_p6_i64K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=100 -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=65536	0.9997	0.9737	1.0160	0.9999	1.0388	1.0504
PL_r100_p2_i16K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=100 -DPIPELINE_PRECISION=2 -DPIPELINE_ITER=16384	0.9996	0.9860	1.0026	1.0000	0.9990	0.9838
PL_r100_p15_i16K	PIPELINE_VARIANTS	PIPELINE PIPELINE PIPELINE	-DPIPELINE_RATIO=100 -DPIPELINE_PRECISION=15 -DPIPELINE_ITER=16384	1.0000	1.0082	1.0223	0.9999	1.0007	1.0478
X_CACHE_x3	CROSS_TOPOS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0025	1.0939	1.0290	1.0022	1.0278	1.0575
X_BUS_x3	CROSS_TOPOS	BUS BUS BUS	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0894	4.4407	1.0201	1.0683	1.0257	1.0548
X_POINTER_x3	CROSS_TOPOS	POINTER POINTER POINTER	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.2188	6.1775	2.3794	1.1075	1.0021	1.0041
X_PIPELINE_x3	CROSS_TOPOS	PIPELINE PIPELINE PIPELINE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	0.9994	1.0729	1.0202	1.0001	1.0211	1.0592
X_MEM_x3	CROSS_TOPOS	MEM MEM MEM	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.2930	4.0011	1.0465	1.1903	1.6473	1.7708
X_CACHE_BUS_MEM	CROSS_TOPOS	CACHE BUS MEM	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.3599	1.5923	1.2440	1.1659	1.0896	8.4285
X_MEM_x2_CACHE	CROSS_TOPOS	MEM MEM CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.3629	2.1508	2.4078	1.1303	1.1158	1.3705
X_MEM_x2_BUS	CROSS_TOPOS	MEM MEM BUS	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.3835	4.6168	1.6143	1.2015	1.3669	1.4691
X_MEM_x2_POINT	CROSS_TOPOS	MEM MEM POINTER	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0232	5.2047	1.2881	1.1795	2.4535	1.6065
X_MEM_BUS_x2	CROSS_TOPOS	MEM BUS BUS	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0997	6.4652	1.0004	1.1885	1.0033	5.5493
X_BUS_x2_CACHE	CROSS_TOPOS	BUS BUS CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0259	1.0849	1.0246	1.0593	1.0228	1.0720
X_one_each	CROSS_TOPOS	CACHE BUS POINTER PIPELINE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.1172	1.0803	1.0290	1.0756	1.0234	1.0615
X_one_each_MEM	CROSS_TOPOS	MEM CACHE BUS POINTER	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.3882	1.1127	1.0458	1.2020	4.6882	1.3294
X_MEM_x4	CROSS_TOPOS	MEM MEM MEM MEM	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.1447	1.1826	1.5190	1.1778	1.5265	1.8247
X_MEM_x5	CROSS_TOPOS	MEM MEM MEM MEM MEM	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1 -DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4 -DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64 -DPIPELINE_RATIO=50  -DPIPELINE_PRECISION=6 -DPIPELINE_ITER=4096 -DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=16384 -DMEM_OP_RATIO=2521 -DMEM_ITER=16; winners: CACHE=CA_4M_s64_w50, BUS=BA_4M_t8_d333_c100, POINTER=PA_64K_s1_l100, PIPELINE=PL_r50_p6_i4K	1.0321	2.4537	1.0628	1.0286	1.5776	2.1989
