[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE  cpu2=BUS  cpu3=POINTER  cpu4=PIPELINE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=binarysearch cycles=10132 instructions=1263 cache-misses=15
[sample=69] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=8
[sample=70] cpu=0 bench=binarysearch cycles=2015 instructions=1258 cache-misses=10
[sample=71] cpu=0 bench=binarysearch cycles=1962 instructions=1258 cache-misses=6
[sample=72] cpu=0 bench=binarysearch cycles=1946 instructions=1258 cache-misses=7
[sample=73] cpu=0 bench=binarysearch cycles=2015 instructions=1258 cache-misses=8
[sample=74] cpu=0 bench=binarysearch cycles=2028 instructions=1258 cache-misses=9
[sample=75] cpu=0 bench=binarysearch cycles=1971 instructions=1258 cache-misses=7
[sample=76] cpu=0 bench=binarysearch cycles=1965 instructions=1258 cache-misses=7
[sample=77] cpu=0 bench=binarysearch cycles=2003 instructions=1258 cache-misses=9
[sample=78] cpu=0 bench=binarysearch cycles=2248 instructions=1258 cache-misses=9
[sample=79] cpu=0 bench=binarysearch cycles=2005 instructions=1258 cache-misses=10
[sample=80] cpu=0 bench=binarysearch cycles=1943 instructions=1258 cache-misses=9
[sample=81] cpu=0 bench=binarysearch cycles=2003 instructions=1258 cache-misses=7
[sample=82] cpu=0 bench=binarysearch cycles=1976 instructions=1258 cache-misses=8
[sample=83] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=9
[sample=84] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=8
[sample=85] cpu=0 bench=binarysearch cycles=2015 instructions=1258 cache-misses=8
[sample=86] cpu=0 bench=binarysearch cycles=2022 instructions=1258 cache-misses=8
[sample=87] cpu=0 bench=binarysearch cycles=2002 instructions=1258 cache-misses=9
[sample=88] cpu=0 bench=binarysearch cycles=1982 instructions=1258 cache-misses=8
[sample=89] cpu=0 bench=binarysearch cycles=1961 instructions=1258 cache-misses=9
[sample=90] cpu=0 bench=binarysearch cycles=1982 instructions=1258 cache-misses=8
[sample=91] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=8
[sample=92] cpu=0 bench=binarysearch cycles=2707 instructions=1258 cache-misses=8
[sample=93] cpu=0 bench=binarysearch cycles=1979 instructions=1258 cache-misses=9
[sample=94] cpu=0 bench=binarysearch cycles=1971 instructions=1258 cache-misses=9
[sample=95] cpu=0 bench=binarysearch cycles=1957 instructions=1258 cache-misses=7
[sample=96] cpu=0 bench=binarysearch cycles=2012 instructions=1258 cache-misses=9
[sample=97] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=8
[sample=98] cpu=0 bench=binarysearch cycles=1973 instructions=1258 cache-misses=7
[sample=99] cpu=0 bench=binarysearch cycles=1950 instructions=1258 cache-misses=8

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                        1943                10132              2219.90              1984.50
  instructions                  1258                 1263              1258.05              1258.00
  cache-misses                     6                   15                 8.36                 8.00
