[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=91] cpu=0 bench=fir2dim cycles=13087 instructions=10109 cache-misses=0
[sample=92] cpu=0 bench=fir2dim cycles=13821 instructions=10102 cache-misses=2
[sample=93] cpu=0 bench=fir2dim cycles=13104 instructions=10102 cache-misses=1
[sample=94] cpu=0 bench=fir2dim cycles=13856 instructions=10106 cache-misses=1
[sample=95] cpu=0 bench=fir2dim cycles=13519 instructions=10110 cache-misses=2
[sample=96] cpu=0 bench=fir2dim cycles=13503 instructions=10104 cache-misses=2
[sample=97] cpu=0 bench=fir2dim cycles=13499 instructions=10102 cache-misses=1
[sample=98] cpu=0 bench=fir2dim cycles=12980 instructions=10103 cache-misses=1
[sample=99] cpu=0 bench=fir2dim cycles=13184 instructions=10103 cache-misses=1

# Statistics over 100 samples on cpu0 bench=fir2dim (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                       12899               355505             25382.91             13540.00
  instructions                 10100                10131             10110.80             10108.00
  cache-misses                     0                   17                 3.80                 2.00
