[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=83] cpu=0 bench=adpcm_dec cycles=320840 instructions=228469 cache-misses=6
[sample=84] cpu=0 bench=adpcm_dec cycles=317967 instructions=228468 cache-misses=5
[sample=85] cpu=0 bench=adpcm_dec cycles=319074 instructions=228468 cache-misses=6
[sample=86] cpu=0 bench=adpcm_dec cycles=318010 instructions=228468 cache-misses=6
[sample=87] cpu=0 bench=adpcm_dec cycles=388438 instructions=228472 cache-misses=65
[sample=88] cpu=0 bench=adpcm_dec cycles=357675 instructions=228471 cache-misses=31
[sample=89] cpu=0 bench=adpcm_dec cycles=326378 instructions=228471 cache-misses=16
[sample=90] cpu=0 bench=adpcm_dec cycles=318667 instructions=228469 cache-misses=8
[sample=91] cpu=0 bench=adpcm_dec cycles=324247 instructions=228472 cache-misses=20
[sample=92] cpu=0 bench=adpcm_dec cycles=318199 instructions=228470 cache-misses=6
[sample=93] cpu=0 bench=adpcm_dec cycles=318689 instructions=228471 cache-misses=3
[sample=94] cpu=0 bench=adpcm_dec cycles=318158 instructions=228471 cache-misses=3
[sample=95] cpu=0 bench=adpcm_dec cycles=319096 instructions=228468 cache-misses=5
[sample=96] cpu=0 bench=adpcm_dec cycles=318189 instructions=228470 cache-misses=4
[sample=97] cpu=0 bench=adpcm_dec cycles=318142 instructions=228470 cache-misses=5
[sample=98] cpu=0 bench=adpcm_dec cycles=317945 instructions=228471 cache-misses=6
[sample=99] cpu=0 bench=adpcm_dec cycles=318339 instructions=228470 cache-misses=5

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      317945               422366            344281.96            347863.50
  instructions                228468               228480            228470.19            228470.00
  cache-misses                     3                  101                30.18                31.50
