[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=75] cpu=0 bench=fmref cycles=689852 instructions=417296 cache-misses=37
[sample=76] cpu=0 bench=fmref cycles=683213 instructions=417300 cache-misses=31
[sample=77] cpu=0 bench=fmref cycles=808037 instructions=417304 cache-misses=82
[sample=78] cpu=0 bench=fmref cycles=666905 instructions=417303 cache-misses=42
[sample=79] cpu=0 bench=fmref cycles=661704 instructions=417298 cache-misses=41
[sample=80] cpu=0 bench=fmref cycles=660186 instructions=417302 cache-misses=29
[sample=81] cpu=0 bench=fmref cycles=688906 instructions=417301 cache-misses=35
[sample=82] cpu=0 bench=fmref cycles=848325 instructions=417307 cache-misses=94
[sample=83] cpu=0 bench=fmref cycles=758171 instructions=417297 cache-misses=58
[sample=84] cpu=0 bench=fmref cycles=664781 instructions=417299 cache-misses=47
[sample=85] cpu=0 bench=fmref cycles=715073 instructions=417297 cache-misses=36
[sample=86] cpu=0 bench=fmref cycles=699455 instructions=417299 cache-misses=40
[sample=87] cpu=0 bench=fmref cycles=658409 instructions=417300 cache-misses=23
[sample=88] cpu=0 bench=fmref cycles=664827 instructions=417294 cache-misses=33
[sample=89] cpu=0 bench=fmref cycles=920220 instructions=417314 cache-misses=126
[sample=90] cpu=0 bench=fmref cycles=784624 instructions=417311 cache-misses=80
[sample=91] cpu=0 bench=fmref cycles=811281 instructions=417302 cache-misses=95
[sample=92] cpu=0 bench=fmref cycles=781238 instructions=417303 cache-misses=76
[sample=93] cpu=0 bench=fmref cycles=879721 instructions=417311 cache-misses=132
[sample=94] cpu=0 bench=fmref cycles=806794 instructions=417303 cache-misses=77
[sample=95] cpu=0 bench=fmref cycles=812016 instructions=417304 cache-misses=99
[sample=96] cpu=0 bench=fmref cycles=793783 instructions=417300 cache-misses=81
[sample=97] cpu=0 bench=fmref cycles=791063 instructions=417301 cache-misses=82
[sample=98] cpu=0 bench=fmref cycles=893037 instructions=417305 cache-misses=129
[sample=99] cpu=0 bench=fmref cycles=778098 instructions=417297 cache-misses=55

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      658409              1568480            774589.78            770736.00
  instructions                417294               454815            417676.56            417301.00
  cache-misses                    23                  144                71.31                70.00
