i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
156,petrinet,st+jfdctint+fft,750.0,707.5,0.977,0.6322,True
157,adpcm_enc,bitonic+test3+deg2rad,174385.5,173595.5,0.0,1.0,False
158,complex_updates,ludcmp+deg2rad+ammunition,970.0,986.0,-0.9143,5.4571,False
159,bitcount,matrix1+gsm_enc+filterbank,14060.0,13450.0,1.0392,0.0,True
160,prime,rijndael_dec+fac+gsm_enc,356.0,341.0,0.411,0.3973,True
161,matrix1,insertsort+bitonic+fmref,7920.0,8798.0,-2.1441,0.0,False
162,lms,cosf+deg2rad+ammunition,156983.5,157621.5,-0.4893,2.7385,False
163,powerwindow,gsm_enc+adpcm_dec+isqrt,774157.0,778011.5,0.0,1.0,False
164,rijndael_enc,jfdctint+petrinet+prime,0,1.0,0.0,1.0,False
165,quicksort,quicksort+ndes+cosf,2865887.0,2863682.5,0.6171,21.9323,False
166,fir2dim,gsm_enc+audiobeam+ndes,5203.5,5103.0,0.2738,0.5967,False
167,fft,md5+fac+ndes,346992.0,346162.0,1.048,4.7607,False
168,statemate,bitonic+prime+epic,23704.0,23773.5,-3.3902,0.0,False
169,insertsort,epic+ndes+gsm_dec,966.0,957.0,0.0549,0.1037,False
170,fac,g723_enc+pm+duff,249.0,248.0,0.1,1.2,False
171,lift,bsort+cosf+gsm_dec,482059.5,443951.0,0.5091,0.0313,True
172,ndes,fmref+petrinet+quicksort,29320.5,28979.5,0.6228,0.9763,False
173,complex_updates,md5+lms+epic,963.0,986.0,-1.3143,5.4571,False
174,g723_enc,lift+st+adpcm_dec,322860.5,319057.5,1.1976,1.5757,False
175,epic,duff+countnegative+gsm_enc,1499666.5,1500867.0,0.0,1.0,False
176,rijndael_dec,ludcmp+matrix1+mpeg2,0,1.0,0.0,1.0,False
177,fac,huff_dec+h264_dec+h264_dec,239.0,248.0,-0.9,1.2,False
178,petrinet,countnegative+insertsort+huff_enc,710.5,707.5,0.069,0.6322,False
179,rijndael_dec,rijndael_dec+quicksort+cjpeg_wrbmp,0,1.0,0.0,1.0,False
180,ndes,binarysearch+duff+insertsort,29097.5,28979.5,0.2155,0.9763,False
181,ndes,minver+md5+fft,29233.5,28979.5,0.4639,0.9763,False
182,binarysearch,sha+rad2deg+cubic,669.5,664.0,0.1964,1.0357,False
183,petrinet,epic+cover+rijndael_enc,718.0,707.5,0.2414,0.6322,False
184,cosf,cjpeg_transupp+adpcm_enc+ammunition,13985.5,14047.0,0.0,1.0,False
185,cubic,huff_enc+md5+statemate,1147203.0,1146691.0,0.0,1.0,False
186,recursion,audiobeam+huff_dec+gsm_dec,1296.0,1293.0,0.0,1.0,False
187,test3,minver+lms+cosf,217473472.0,217382108.0,0.031,0.4479,False
188,powerwindow,pm+fmref+iir,773896.0,778011.5,0.0,1.0,False
189,g723_enc,cubic+cjpeg_transupp+mpeg2,320696.0,319057.5,0.516,1.5757,False
190,pm,adpcm_dec+rad2deg+susan,7843218.0,7814785.0,1.1557,2.212,False
191,recursion,test3+bitcount+recursion,1293.0,1293.0,0.0,1.0,False
