t_s,release,victim,injected,c_obs,rampart_full,deadline_miss,shield_recovered
5258.47,508,jfdctint,False,9264.0,25117.031,False,
5258.84,509,fac,False,961.5,2439.197,False,
5259.22,510,fir2dim,False,13602.0,14991.022,False,
5259.76,511,fmref,False,743813.0,727400.933,True,
5260.13,512,cosf,False,31345.0,59951.826,False,
5320.39,513,test3,False,876688276.0,877025267.452,False,
5320.77,514,jfdctint,False,8855.5,25117.031,False,
5321.14,515,fac,False,986.0,2439.197,False,
5321.52,516,fir2dim,False,13679.0,14991.022,False,
5322.04,517,fmref,False,739888.0,727400.933,True,
5322.44,518,cosf,False,32368.5,59951.826,False,
5380.96,519,test3,False,877852942.5,877025267.452,True,
5381.33,520,jfdctint,False,8699.5,25117.031,False,
5381.69,521,fac,False,729.0,2439.197,False,
5382.07,522,fir2dim,False,13881.0,14991.022,False,
5382.62,523,fmref,False,737545.5,727400.933,True,
5382.99,524,cosf,False,31378.0,59951.826,False,
5443.43,525,test3,False,891585084.5,877025267.452,True,
