bench,config,n,theta_LLC,theta_BUS,theta_MEM,cycles_med,cycles_max,inst_med,miss_med,miss_max
epic,BUS,100,PR_CACHE,BUS,PR_ROWBUF,1497172.5,1509205.0,4321661.0,129.5,597.0
epic,MEM,100,PR_CACHE,BUS,PR_ROWBUF,1496035.5,1506945.0,4321661.0,111.0,629.0
epic,Mix,100,PR_CACHE,BUS,PR_ROWBUF,1542997.5,1794419.0,4321661.0,519.5,1283.0
fac,Solo,100,CACHE,BUS,MEM,248.0,1885.0,453.0,0.0,5.0
fac,LLC,100,CACHE,BUS,MEM,250.0,2135.0,453.0,0.0,7.0
fac,BUS,100,CACHE,BUS,MEM,241.0,1954.0,453.0,0.0,6.0
fac,MEM,100,CACHE,BUS,MEM,256.0,5499.0,453.0,0.0,6.0
fac,Mix,100,CACHE,BUS,MEM,260.0,9708.0,453.0,0.0,6.0
fft,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,346162.0,361338.0,772322.0,31.5,353.0
fft,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,346809.0,356069.0,772322.0,37.5,385.0
fft,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,346304.0,354216.0,772322.0,24.0,356.0
fft,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,346165.0,360576.0,772322.0,29.0,373.0
fft,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,349932.5,414835.0,772322.0,213.5,346.0
filterbank,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,3075813.5,3092795.0,10606432.0,3.0,64.0
filterbank,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,3105701.0,3241390.0,10606432.0,1.0,110.0
filterbank,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,3083090.0,3101532.0,10606432.0,30.5,113.0
filterbank,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,3082109.5,3098241.0,10606432.0,4.0,104.0
filterbank,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,3165026.0,3396222.0,10606432.0,165.5,232.0
fir2dim,Solo,100,PR_CACHE,BUS,MEM,5103.0,7741.0,10084.0,0.0,11.0
fir2dim,LLC,100,PR_CACHE,BUS,MEM,5215.0,9315.0,10084.0,0.0,11.0
fir2dim,BUS,100,PR_CACHE,BUS,MEM,5356.5,6898.0,10084.0,1.0,11.0
fir2dim,MEM,100,PR_CACHE,BUS,MEM,5104.5,10867.0,10084.0,0.0,11.0
fir2dim,Mix,100,PR_CACHE,BUS,MEM,5322.0,12231.0,10084.0,2.0,11.0
fmref,Solo,100,CACHE,BUS,MEM,214034.5,239590.0,420358.0,28.0,116.0
fmref,LLC,100,CACHE,BUS,MEM,213398.5,240255.0,420358.0,12.0,111.0
fmref,BUS,100,CACHE,BUS,MEM,213514.5,240322.0,420358.0,9.0,92.0
fmref,MEM,100,CACHE,BUS,MEM,213914.5,250019.0,420358.0,9.0,115.0
fmref,Mix,100,CACHE,BUS,MEM,220199.5,264978.0,420358.0,47.0,194.0
g723_enc,Solo,100,CACHE,BUS,PR_ROWBUF,319057.5,327559.0,847630.0,3.0,34.0
g723_enc,LLC,100,CACHE,BUS,PR_ROWBUF,321368.0,329339.0,847630.0,2.0,23.0
g723_enc,BUS,100,CACHE,BUS,PR_ROWBUF,319395.0,326438.0,847630.0,3.0,35.0
g723_enc,MEM,100,CACHE,BUS,PR_ROWBUF,319585.0,328430.0,847630.0,2.0,35.0
g723_enc,Mix,100,CACHE,BUS,PR_ROWBUF,324061.0,335786.0,847630.0,20.0,42.0
gsm_dec,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,1831781.5,1844694.0,2784038.0,11.0,142.0
gsm_dec,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,1838749.5,1861157.0,2784038.0,11.0,108.0
gsm_dec,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,1832017.0,1849661.0,2784038.0,13.0,83.0
gsm_dec,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,1831751.0,1850323.0,2784038.0,8.0,157.0
gsm_dec,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,1859878.0,1906791.0,2784038.0,117.0,176.0
gsm_enc,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,3527162.0,3613754.0,7834424.0,30.0,88.0
gsm_enc,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,3523872.0,3563641.0,7834424.0,20.0,80.0
gsm_enc,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,3522161.0,3560919.0,7834424.0,24.0,115.0
gsm_enc,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,3522226.5,3566914.0,7834424.0,29.0,120.0
gsm_enc,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,3584004.0,3673390.0,7834424.0,153.0,189.0
h264_dec,Solo,100,CACHE,PR_MEMBUS,PR_ROWBUF,226028.5,234820.0,400373.0,26.0,180.0
h264_dec,LLC,100,CACHE,PR_MEMBUS,PR_ROWBUF,202651.5,235109.0,400373.0,29.0,145.0
h264_dec,BUS,100,CACHE,PR_MEMBUS,PR_ROWBUF,209584.5,234002.0,400373.0,33.0,169.0
h264_dec,MEM,100,CACHE,PR_MEMBUS,PR_ROWBUF,203303.0,238296.0,400373.0,44.0,148.0
h264_dec,Mix,100,CACHE,PR_MEMBUS,PR_ROWBUF,210384.5,240881.0,400373.0,125.5,180.0
huff_dec,Solo,100,CACHE,BUS,MEM,0,0,0,0,0
huff_dec,LLC,100,CACHE,BUS,MEM,0,0,0,0,0
huff_dec,BUS,100,CACHE,BUS,MEM,0,0,0,0,0
huff_dec,MEM,100,CACHE,BUS,MEM,0,0,0,0,0
huff_dec,Mix,100,CACHE,BUS,MEM,0,0,0,0,0
huff_enc,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,525918.5,571390.0,1105880.0,30.5,353.0
huff_enc,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,521503.0,567718.0,1105880.0,25.0,383.0
huff_enc,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,520912.5,576790.0,1105880.0,38.0,354.0
huff_enc,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,520936.0,583746.0,1105880.0,50.0,368.0
huff_enc,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,536508.0,641801.0,1105880.0,266.0,405.0
iir,Solo,100,CACHE,BUS,MEM,1569.5,3541.0,2587.0,0.0,6.0
iir,LLC,100,CACHE,BUS,MEM,1570.0,2954.0,2587.0,0.0,5.0
iir,BUS,100,CACHE,BUS,MEM,1761.5,3481.0,2587.0,0.0,5.0
iir,MEM,100,CACHE,BUS,MEM,1066.0,6718.0,2587.0,0.0,5.0
iir,Mix,100,CACHE,BUS,MEM,1331.0,5492.0,2587.0,0.0,4.0
insertsort,Solo,100,CACHE,BUS,MEM,957.0,4437.0,2944.0,0.0,9.0
insertsort,LLC,100,CACHE,BUS,MEM,1033.0,4143.0,2944.0,0.0,9.0
insertsort,BUS,100,CACHE,BUS,MEM,1003.5,5456.0,2944.0,0.0,8.0
insertsort,MEM,100,CACHE,BUS,MEM,998.5,8457.0,2944.0,0.0,6.0
insertsort,Mix,100,CACHE,BUS,MEM,974.0,7272.0,2944.0,0.0,7.0
isqrt,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,581086.5,602828.0,1091952.0,0.0,8.0
isqrt,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,574111.0,582230.0,1091952.0,0.0,6.0
isqrt,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,574830.5,581209.0,1091952.0,0.0,6.0
isqrt,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,571262.5,578160.0,1091952.0,0.0,8.0
isqrt,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,572937.5,593122.0,1091952.0,4.0,17.0
jfdctint,Solo,100,CACHE,BUS,MEM,2774.0,5833.0,6381.0,0.0,7.0
jfdctint,LLC,100,CACHE,BUS,MEM,2773.0,6788.0,6381.0,0.0,11.0
jfdctint,BUS,100,CACHE,BUS,MEM,2785.5,6918.0,6381.0,0.0,7.0
jfdctint,MEM,100,CACHE,BUS,MEM,2780.0,13553.0,6381.0,0.0,8.0
jfdctint,Mix,100,CACHE,BUS,MEM,2806.5,11878.0,6381.0,0.0,7.0
lift,Solo,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,443951.0,473553.0,1140722.0,0.0,11.0
lift,LLC,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,468826.5,488563.0,1140722.0,0.0,11.0
lift,BUS,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,492796.5,497641.0,1140722.0,0.0,12.0
lift,MEM,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,445079.5,478115.0,1140722.0,0.0,12.0
lift,Mix,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,446294.5,493223.0,1140722.0,5.0,15.0
lms,Solo,100,CACHE,BUS,PR_ROWBUF,157621.5,162511.0,299073.0,0.0,27.0
lms,LLC,100,CACHE,BUS,PR_ROWBUF,158694.0,161181.0,299073.0,0.0,25.0
lms,BUS,100,CACHE,BUS,PR_ROWBUF,155396.5,163678.0,299073.0,0.0,36.0
lms,MEM,100,CACHE,BUS,PR_ROWBUF,157853.0,164650.0,299073.0,2.0,44.0
lms,Mix,100,CACHE,BUS,PR_ROWBUF,161192.5,175695.0,299073.0,19.0,37.0
ludcmp,Solo,100,CACHE,BUS,MTH_MEM,2147.0,6726.0,7016.0,0.0,23.0
ludcmp,LLC,100,CACHE,BUS,MTH_MEM,2151.5,7569.0,7016.0,1.0,24.0
ludcmp,BUS,100,CACHE,BUS,MTH_MEM,2158.0,7335.0,7016.0,0.0,23.0
ludcmp,MEM,100,CACHE,BUS,MTH_MEM,2154.5,14599.0,7016.0,0.0,23.0
ludcmp,Mix,100,CACHE,BUS,MTH_MEM,2142.5,17237.0,7016.0,0.0,26.0
matrix1,Solo,100,MTH_CACHE,PR_MEMBUS,MEM,8798.0,9862.0,19792.0,2.0,22.0
matrix1,LLC,100,MTH_CACHE,PR_MEMBUS,MEM,8780.0,11146.0,19792.0,1.0,25.0
matrix1,BUS,100,MTH_CACHE,PR_MEMBUS,MEM,8814.5,9585.0,19792.0,1.0,22.0
matrix1,MEM,100,MTH_CACHE,PR_MEMBUS,MEM,9191.0,11841.0,19792.0,1.0,22.0
matrix1,Mix,100,MTH_CACHE,PR_MEMBUS,MEM,8714.0,12871.0,19792.0,1.0,22.0
md5,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,18959441.0,19622836.0,29824455.0,4.0,25.0
md5,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,18933666.0,19541525.0,29824455.0,7.0,25.0
md5,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,18948331.5,19415435.0,29824455.0,3.0,27.0
md5,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,18964190.0,19554590.0,29824455.0,3.0,28.0
md5,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,18783774.5,19643209.0,29824455.0,104.0,164.0
minver,Solo,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,1348.5,6910.0,4118.0,2.0,15.0
minver,LLC,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,1358.5,6995.0,4118.0,2.0,13.0
minver,BUS,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,1334.5,6626.0,4118.0,2.0,16.0
minver,MEM,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,1333.5,8036.0,4118.0,4.0,14.0
minver,Mix,100,MTH_CACHE,PR_MEMBUS,PR_ROWBUF,1344.5,6699.0,4118.0,2.0,17.0
mpeg2,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,262904752.5,263195618.0,394397492.0,3224.5,3932.0
mpeg2,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,262845739.5,263076500.0,394397492.0,2932.5,3515.0
mpeg2,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,262866635.5,263089986.0,394397492.0,3059.5,3408.0
mpeg2,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,263070573.0,263326009.0,394397492.0,2953.5,3772.0
mpeg2,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,265130772.5,266275398.0,394397492.0,7625.5,8870.0
ndes,Solo,100,PR_CACHE,MTH_BUS,PR_ROWBUF,28979.5,38116.0,83082.0,3.0,41.0
ndes,LLC,100,PR_CACHE,MTH_BUS,PR_ROWBUF,29194.0,36971.0,83082.0,3.0,49.0
ndes,BUS,100,PR_CACHE,MTH_BUS,PR_ROWBUF,28933.5,37892.0,83082.0,4.0,51.0
ndes,MEM,100,PR_CACHE,MTH_BUS,PR_ROWBUF,29312.5,38162.0,83082.0,7.0,32.0
ndes,Mix,100,PR_CACHE,MTH_BUS,PR_ROWBUF,29514.0,45803.0,83082.0,5.0,55.0
petrinet,Solo,100,PR_CACHE,MTH_BUS,MTH_MEM,707.5,6568.0,2173.0,0.0,14.0
petrinet,LLC,100,PR_CACHE,MTH_BUS,MTH_MEM,704.5,8684.0,2173.0,0.0,15.0
petrinet,BUS,100,PR_CACHE,MTH_BUS,MTH_MEM,723.5,7604.0,2173.0,0.0,13.0
petrinet,MEM,100,PR_CACHE,MTH_BUS,MTH_MEM,735.0,19724.0,2173.0,0.0,12.0
petrinet,Mix,100,PR_CACHE,MTH_BUS,MTH_MEM,735.0,21519.0,2173.0,0.0,14.0
pm,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,7814785.0,8172292.0,15303318.0,54.5,223.0
pm,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,7807866.0,8145832.0,15303318.0,47.5,168.0
pm,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,7837671.0,8116586.0,15303318.0,55.5,221.0
pm,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,7816502.0,8272849.0,15303318.0,54.0,222.0
pm,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,7869208.0,8141520.0,15303318.0,269.5,454.0
powerwindow,Solo,100,CACHE,BUS,PR_ROWBUF,778011.5,828918.0,2190791.0,228.5,578.0
powerwindow,LLC,100,CACHE,BUS,PR_ROWBUF,775785.5,811513.0,2190791.0,213.5,557.0
powerwindow,BUS,100,CACHE,BUS,PR_ROWBUF,774299.5,813633.0,2190791.0,208.0,587.0
powerwindow,MEM,100,CACHE,BUS,PR_ROWBUF,771630.5,814886.0,2190791.0,203.5,578.0
powerwindow,Mix,100,CACHE,BUS,PR_ROWBUF,787664.0,857575.0,2190791.0,538.0,602.0
prime,Solo,100,CACHE,BUS,MEM,341.0,2812.0,669.0,0.0,3.0
prime,LLC,100,CACHE,BUS,MEM,353.5,2547.0,669.0,0.0,3.0
prime,BUS,100,CACHE,BUS,MEM,356.0,3690.0,669.0,0.0,3.0
prime,MEM,100,CACHE,BUS,MEM,350.0,6185.0,669.0,0.0,3.0
prime,Mix,100,CACHE,BUS,MEM,355.5,5652.0,669.0,0.0,5.0
quicksort,Solo,100,MTH_CACHE,BUS,PR_ROWBUF,2863682.5,3165279.0,4621443.0,574.5,679.0
quicksort,LLC,100,MTH_CACHE,BUS,PR_ROWBUF,2854574.5,3141407.0,4621443.0,534.5,825.0
quicksort,BUS,100,MTH_CACHE,BUS,PR_ROWBUF,2867255.0,3111951.0,4621443.0,542.0,869.0
quicksort,MEM,100,MTH_CACHE,BUS,PR_ROWBUF,2853683.5,2995378.0,4621443.0,550.0,736.0
quicksort,Mix,100,MTH_CACHE,BUS,PR_ROWBUF,2942035.5,3208977.0,4621443.0,914.0,1110.0
rad2deg,Solo,100,CACHE,BUS,MEM,3729.0,5395.0,12673.0,0.0,2.0
rad2deg,LLC,100,CACHE,BUS,MEM,3730.0,5753.0,12673.0,0.0,2.0
rad2deg,BUS,100,CACHE,BUS,MEM,3731.0,5450.0,12673.0,0.0,2.0
rad2deg,MEM,100,CACHE,BUS,MEM,3734.0,7086.0,12673.0,0.0,3.0
rad2deg,Mix,100,CACHE,BUS,MEM,3747.0,5119.0,12673.0,0.0,2.0
recursion,Solo,100,CACHE,BUS,MEM,1293.0,4891.0,3147.0,0.0,12.0
recursion,LLC,100,CACHE,BUS,MEM,1293.0,3458.0,3147.0,0.0,14.0
recursion,BUS,100,CACHE,BUS,MEM,1293.0,3150.0,3147.0,0.0,13.0
recursion,MEM,100,CACHE,BUS,MEM,1293.0,7560.0,3147.0,0.0,12.0
recursion,Mix,100,CACHE,BUS,MEM,1293.0,6592.0,3147.0,0.0,9.0
rijndael_dec,Solo,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_dec,LLC,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_dec,BUS,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_dec,MEM,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_dec,Mix,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_enc,Solo,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_enc,LLC,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_enc,BUS,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_enc,MEM,100,CACHE,BUS,MEM,0,0,0,0,0
rijndael_enc,Mix,100,CACHE,BUS,MEM,0,0,0,0,0
sha,Solo,100,PR_CACHE,BUS,PR_ROWBUF,1468088.5,1479768.0,4189183.0,196.5,470.0
sha,LLC,100,PR_CACHE,BUS,PR_ROWBUF,1465838.5,1508689.0,4189183.0,163.0,396.0
sha,BUS,100,PR_CACHE,BUS,PR_ROWBUF,1451948.0,1475986.0,4189183.0,187.5,444.0
