victim,i,triple,c_obs,rampart_add,rampart_full,violates_add,violates_full
bsort,0,deg2rad+bitonic+test3,75300.0,76539.8,76539.8,False,False
bsort,1,bitcount+quicksort+lift,74775.0,76539.8,76539.8,False,False
bsort,2,cjpeg_transupp+dijkstra+duff,74659.0,76539.8,76539.8,False,False
bsort,3,matrix1+countnegative+powerwindow,74708.0,76539.8,76539.8,False,False
bsort,4,fft+countnegative+petrinet,74696.5,76539.8,76539.8,False,False
bsort,5,minver+statemate+deg2rad,74733.5,76539.8,76539.8,False,False
bsort,6,insertsort+iir+deg2rad,74889.0,76539.8,76539.8,False,False
bsort,7,statemate+anagram+binarysearch,75272.0,76539.8,76539.8,False,False
bsort,8,minver+gsm_enc+st,74806.0,76539.8,76539.8,False,False
bsort,9,dijkstra+ammunition+adpcm_dec,74575.0,76539.8,76539.8,False,False
bsort,10,fft+recursion+bsort,74714.5,76539.8,76539.8,False,False
bsort,11,minver+deg2rad+cjpeg_wrbmp,74678.5,76539.8,76539.8,False,False
bsort,12,quicksort+h264_dec+lift,74726.5,76539.8,76539.8,False,False
bsort,13,powerwindow+gsm_enc+lift,75031.0,76539.8,76539.8,False,False
bsort,14,adpcm_dec+bitonic+audiobeam,74593.0,76539.8,76539.8,False,False
bsort,15,test3+pm+cjpeg_transupp,74756.0,76539.8,76539.8,False,False
bsort,16,jfdctint+ammunition+st,74681.5,76539.8,76539.8,False,False
bsort,17,fir2dim+ludcmp+lift,74609.5,76539.8,76539.8,False,False
bsort,18,cjpeg_transupp+gsm_enc+bsort,74572.5,76539.8,76539.8,False,False
bsort,19,ammunition+epic+fir2dim,74629.5,76539.8,76539.8,False,False
cjpeg_transupp,0,rijndael_dec+susan+ammunition,2168659.0,2215353.8,2239219.8,False,False
cjpeg_transupp,1,filterbank+countnegative+petrinet,2160503.5,2215353.8,2239219.8,False,False
cjpeg_transupp,2,cubic+ndes+bitcount,2165947.0,2215353.8,2239219.8,False,False
cjpeg_transupp,3,filterbank+recursion+lift,2159930.0,2215353.8,2239219.8,False,False
cjpeg_transupp,4,test3+susan+gsm_dec,2170510.0,2215353.8,2239219.8,False,False
cjpeg_transupp,5,md5+quicksort+cjpeg_transupp,2161219.0,2215353.8,2239219.8,False,False
cjpeg_transupp,6,cubic+susan+cjpeg_wrbmp,2162185.0,2215353.8,2239219.8,False,False
cjpeg_transupp,7,rijndael_enc+complex_updates+test3,2160114.0,2215353.8,2239219.8,False,False
cjpeg_transupp,8,gsm_dec+adpcm_enc+complex_updates,2169108.0,2215353.8,2239219.8,False,False
cjpeg_transupp,9,quicksort+fft+rijndael_dec,2169906.5,2215353.8,2239219.8,False,False
cjpeg_transupp,10,gsm_dec+rijndael_enc+ndes,2165822.5,2215353.8,2239219.8,False,False
cjpeg_transupp,11,susan+quicksort+rijndael_enc,2157155.0,2215353.8,2239219.8,False,False
cjpeg_transupp,12,cubic+dijkstra+cjpeg_wrbmp,2165734.5,2215353.8,2239219.8,False,False
cjpeg_transupp,13,rijndael_dec+pm+bitcount,2152947.5,2215353.8,2239219.8,False,False
cjpeg_transupp,14,fmref+susan+ammunition,2157950.5,2215353.8,2239219.8,False,False
cjpeg_transupp,15,statemate+huff_enc+cover,2172025.0,2215353.8,2239219.8,False,False
cjpeg_transupp,16,cosf+sha+huff_dec,2149951.5,2215353.8,2239219.8,False,False
cjpeg_transupp,17,filterbank+epic+sha,2168813.5,2215353.8,2239219.8,False,False
cjpeg_transupp,18,rijndael_dec+susan+cover,2162733.0,2215353.8,2239219.8,False,False
cjpeg_transupp,19,cover+adpcm_enc+ndes,2169831.5,2215353.8,2239219.8,False,False
cjpeg_wrbmp,0,cosf+g723_enc+fft,73062.5,77976.4,78309.0,False,False
cjpeg_wrbmp,1,dijkstra+susan+audiobeam,71988.5,77976.4,78309.0,False,False
cjpeg_wrbmp,2,recursion+dijkstra+filterbank,73371.5,77976.4,78309.0,False,False
cjpeg_wrbmp,3,mpeg2+insertsort+g723_enc,75953.5,77976.4,78309.0,False,False
cjpeg_wrbmp,4,petrinet+st+jfdctint,73590.0,77976.4,78309.0,False,False
cjpeg_wrbmp,5,fft+adpcm_enc+bitonic,76611.0,77976.4,78309.0,False,False
cjpeg_wrbmp,6,test3+deg2rad+complex_updates,74298.5,77976.4,78309.0,False,False
cjpeg_wrbmp,7,ludcmp+deg2rad+ammunition,74245.5,77976.4,78309.0,False,False
cjpeg_wrbmp,8,bitcount+matrix1+gsm_enc,74142.5,77976.4,78309.0,False,False
cjpeg_wrbmp,9,filterbank+prime+rijndael_dec,73866.5,77976.4,78309.0,False,False
cjpeg_wrbmp,10,fac+gsm_enc+matrix1,76776.0,77976.4,78309.0,False,False
cjpeg_wrbmp,11,insertsort+bitonic+fmref,76418.0,77976.4,78309.0,False,False
cjpeg_wrbmp,12,lms+cosf+deg2rad,74286.0,77976.4,78309.0,False,False
cjpeg_wrbmp,13,ammunition+powerwindow+gsm_enc,76340.5,77976.4,78309.0,False,False
cjpeg_wrbmp,14,adpcm_dec+isqrt+rijndael_enc,74256.0,77976.4,78309.0,False,False
cjpeg_wrbmp,15,jfdctint+petrinet+prime,74507.0,77976.4,78309.0,False,False
cjpeg_wrbmp,16,quicksort+ndes+cosf,74143.0,77976.4,78309.0,False,False
cjpeg_wrbmp,17,fir2dim+gsm_enc+audiobeam,75498.5,77976.4,78309.0,False,False
cjpeg_wrbmp,18,ndes+fft+md5,73754.0,77976.4,78309.0,False,False
cjpeg_wrbmp,19,fac+ndes+statemate,72461.0,77976.4,78309.0,False,False
complex_updates,0,bitonic+prime+epic,974.0,1023.6,1103.1,False,False
complex_updates,1,insertsort+epic+ndes,956.0,1023.6,1103.1,False,False
complex_updates,2,gsm_dec+fac+g723_enc,985.0,1023.6,1103.1,False,False
complex_updates,3,pm+duff+lift,978.0,1023.6,1103.1,False,False
complex_updates,4,bsort+cosf+gsm_dec,977.0,1023.6,1103.1,False,False
complex_updates,5,ndes+fmref+petrinet,965.0,1023.6,1103.1,False,False
complex_updates,6,quicksort+complex_updates+md5,1088.0,1023.6,1103.1,True,False
complex_updates,7,lms+epic+g723_enc,965.0,1023.6,1103.1,False,False
complex_updates,8,lift+st+adpcm_dec,980.0,1023.6,1103.1,False,False
complex_updates,9,epic+duff+countnegative,978.5,1023.6,1103.1,False,False
complex_updates,10,gsm_enc+rijndael_dec+ludcmp,978.0,1023.6,1103.1,False,False
complex_updates,11,matrix1+mpeg2+fac,981.0,1023.6,1103.1,False,False
complex_updates,12,huff_dec+h264_dec+petrinet,978.0,1023.6,1103.1,False,False
complex_updates,13,countnegative+insertsort+huff_enc,977.5,1023.6,1103.1,False,False
complex_updates,14,rijndael_dec+quicksort+cjpeg_wrbmp,966.0,1023.6,1103.1,False,False
complex_updates,15,ndes+binarysearch+duff,965.5,1023.6,1103.1,False,False
complex_updates,16,insertsort+ndes+minver,963.0,1023.6,1103.1,False,False
complex_updates,17,md5+fft+binarysearch,971.0,1023.6,1103.1,False,False
complex_updates,18,sha+rad2deg+cubic,960.0,1023.6,1103.1,False,False
complex_updates,19,petrinet+epic+cover,968.0,1023.6,1103.1,False,False
cosf,0,rijndael_enc+cosf+cjpeg_transupp,14036.0,14327.9,14327.9,False,False
cosf,1,adpcm_enc+ammunition+cubic,13930.5,14327.9,14327.9,False,False
cosf,2,huff_enc+md5+statemate,13939.0,14327.9,14327.9,False,False
cosf,3,recursion+audiobeam+huff_dec,13928.0,14327.9,14327.9,False,False
cosf,4,gsm_dec+test3+minver,13915.0,14327.9,14327.9,False,False
cosf,5,lms+cosf+powerwindow,14002.0,14327.9,14327.9,False,False
cosf,6,pm+fmref+iir,14035.0,14327.9,14327.9,False,False
cosf,7,g723_enc+cubic+cjpeg_transupp,14004.5,14327.9,14327.9,False,False
cosf,8,mpeg2+pm+adpcm_dec,13921.5,14327.9,14327.9,False,False
cosf,9,rad2deg+susan+recursion,13905.0,14327.9,14327.9,False,False
cosf,10,test3+bitcount+recursion,13947.5,14327.9,14327.9,False,False
