bench,channel,alpha_S,alpha_real,ratio,violation,real_triple
mpeg2,LLC,5.4e-05,1.8e-05,0.339,False,fmref+adpcm_dec+deg2rad
mpeg2,BUS,3.2e-05,1.4e-05,0.4432,False,rijndael_dec+huff_dec+duff
mpeg2,MEM,4.2e-05,1.9e-05,0.4562,False,gsm_enc+pm+prime
ndes,LLC,0.001958,0.001881,0.9607,False,rijndael_dec+lift+ndes
ndes,BUS,0.001897,0.00187,0.9861,False,powerwindow+iir+cjpeg_transupp
ndes,MEM,0.001973,0.001777,0.9005,False,cosf+duff+countnegative
petrinet,LLC,0.007855,0.023161,2.9484,True,anagram+ludcmp+quicksort
petrinet,BUS,0.019894,0.016854,0.8472,False,jfdctint+anagram+quicksort
petrinet,MEM,0.020604,0.015278,0.7415,False,fac+anagram+ludcmp
pm,LLC,7.4e-05,4.1e-05,0.5562,False,huff_enc+insertsort+statemate
pm,BUS,6.5e-05,5.1e-05,0.7812,False,isqrt+cjpeg_wrbmp+anagram
pm,MEM,6.1e-05,2.6e-05,0.4318,False,insertsort+binarysearch+statemate
powerwindow,LLC,0.00087,0.000759,0.872,False,complex_updates+audiobeam+matrix1
powerwindow,BUS,0.000882,0.000739,0.8384,False,audiobeam+petrinet+susan
powerwindow,MEM,0.000964,0.000781,0.8104,False,cubic+g723_enc+bitonic
prime,LLC,0.008547,0.008499,0.9943,False,test3+lms+cubic
prime,BUS,0.008475,0.014286,1.6857,True,ludcmp+matrix1+ammunition
prime,MEM,0.008499,0.008523,1.0028,True,md5+binarysearch+gsm_dec
quicksort,LLC,0.000444,0.000411,0.9259,False,ndes+ludcmp+lms
quicksort,BUS,0.000452,0.000346,0.7658,False,isqrt+fac+deg2rad
quicksort,MEM,0.000505,0.00044,0.8723,False,countnegative+ndes+powerwindow
rad2deg,LLC,0.001341,0.002408,1.7954,True,fac+cubic+deg2rad
rad2deg,BUS,0.001333,0.001065,0.7986,False,g723_enc+bsort+ndes
rad2deg,MEM,0.000537,0.000537,1.0004,True,mpeg2+epic+huff_dec
recursion,LLC,0.009281,0.006961,0.75,False,fac+rad2deg+audiobeam
recursion,BUS,0.010828,0.009281,0.8571,False,adpcm_dec+huff_dec+md5
recursion,MEM,0.007734,0.010054,1.3,True,lms+bitcount+audiobeam
rijndael_dec,LLC,0.0,0.0,inf,False,jfdctint+countnegative+insertsort
rijndael_dec,BUS,0.0,0.0,inf,False,deg2rad+bsort+filterbank
rijndael_dec,MEM,0.0,0.0,inf,False,test3+audiobeam+cubic
rijndael_enc,LLC,0.0,0.0,inf,False,fir2dim+duff+cjpeg_wrbmp
rijndael_enc,BUS,0.0,0.0,inf,False,h264_dec+st+jfdctint
rijndael_enc,MEM,0.0,0.0,inf,False,powerwindow+epic+md5
sha,LLC,0.000425,0.00032,0.7539,False,rijndael_enc+mpeg2+isqrt
sha,BUS,0.000361,0.000275,0.7626,False,adpcm_dec+ndes+sha
sha,MEM,0.000408,0.000322,0.7879,False,lift+epic+ndes
