# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=100] cpu=0 bench=complex_updates cycles=4134 instructions=2553 cache-misses=4
[sample=101] cpu=0 bench=complex_updates cycles=3694 instructions=2553 cache-misses=6
[sample=102] cpu=0 bench=complex_updates cycles=4226 instructions=2553 cache-misses=6
[sample=103] cpu=0 bench=complex_updates cycles=3647 instructions=2553 cache-misses=4
[sample=104] cpu=0 bench=complex_updates cycles=3591 instructions=2553 cache-misses=3
[sample=105] cpu=0 bench=complex_updates cycles=3548 instructions=2553 cache-misses=6
[sample=106] cpu=0 bench=complex_updates cycles=3644 instructions=2553 cache-misses=2
[sample=107] cpu=0 bench=complex_updates cycles=3991 instructions=2554 cache-misses=5
[sample=108] cpu=0 bench=complex_updates cycles=4434 instructions=2553 cache-misses=5
[sample=109] cpu=0 bench=complex_updates cycles=3703 instructions=2553 cache-misses=4
[sample=110] cpu=0 bench=complex_updates cycles=3635 instructions=2553 cache-misses=3
[sample=111] cpu=0 bench=complex_updates cycles=3984 instructions=2553 cache-misses=11
[sample=112] cpu=0 bench=complex_updates cycles=4112 instructions=2553 cache-misses=12
[sample=113] cpu=0 bench=complex_updates cycles=4086 instructions=2553 cache-misses=5
[sample=114] cpu=0 bench=complex_updates cycles=4218 instructions=2553 cache-misses=7
[sample=115] cpu=0 bench=complex_updates cycles=3601 instructions=2553 cache-misses=6
[sample=116] cpu=0 bench=complex_updates cycles=3646 instructions=2553 cache-misses=4
[sample=117] cpu=0 bench=complex_updates cycles=4227 instructions=2553 cache-misses=6
[sample=118] cpu=0 bench=complex_updates cycles=3720 instructions=2553 cache-misses=4
[sample=119] cpu=0 bench=complex_updates cycles=3793 instructions=2553 cache-misses=2
[sample=120] cpu=0 bench=complex_updates cycles=3802 instructions=2553 cache-misses=5
[sample=121] cpu=0 bench=complex_updates cycles=3981 instructions=2553 cache-misses=2
[sample=122] cpu=0 bench=complex_updates cycles=3609 instructions=2553 cache-misses=5
[sample=123] cpu=0 bench=complex_updates cycles=3642 instructions=2553 cache-misses=2
[sample=124] cpu=0 bench=complex_updates cycles=3610 instructions=2553 cache-misses=4
[sample=125] cpu=0 bench=complex_updates cycles=3575 instructions=2553 cache-misses=3
[sample=126] cpu=0 bench=complex_updates cycles=3951 instructions=2553 cache-misses=4
[sample=127] cpu=0 bench=complex_updates cycles=4095 instructions=2553 cache-misses=5
[sample=128] cpu=0 bench=complex_updates cycles=3928 instructions=2553 cache-misses=3
[sample=129] cpu=0 bench=complex_updates cycles=3604 instructions=2553 cache-misses=4
[sample=130] cpu=0 bench=complex_updates cycles=3626 instructions=2553 cache-misses=5
[sample=131] cpu=0 bench=complex_updates cycles=3589 instructions=2553 cache-misses=3
[sample=132] cpu=0 bench=complex_updates cycles=3624 instructions=2553 cache-misses=6
[sample=133] cpu=0 bench=complex_updates cycles=3683 instructions=2553 cache-misses=5
[sample=134] cpu=0 bench=complex_updates cycles=4092 instructions=2553 cache-misses=4
[sample=135] cpu=0 bench=complex_updates cycles=3739 instructions=2553 cache-misses=4
[sample=136] cpu=0 bench=complex_updates cycles=3905 instructions=2553 cache-misses=3
[sample=137] cpu=0 bench=complex_updates cycles=3576 instructions=2553 cache-misses=4
[sample=138] cpu=0 bench=complex_updates cycles=3655 instructions=2553 cache-misses=7
[sample=139] cpu=0 bench=complex_updates cycles=3594 instructions=2553 cache-misses=6
[sample=140] cpu=0 bench=complex_updates cycles=4417 instructions=2554 cache-misses=10
[sample=141] cpu=0 bench=complex_updates cycles=3612 instructions=2553 cache-misses=3
[sample=142] cpu=0 bench=complex_updates cycles=3630 instructions=2553 cache-misses=5
[sample=143] cpu=0 bench=complex_updates cycles=3586 instructions=2553 cache-misses=7
[sample=144] cpu=0 bench=complex_updates cycles=3927 instructions=2553 cache-misses=6
[sample=145] cpu=0 bench=complex_updates cycles=3842 instructions=2553 cache-misses=5
[sample=146] cpu=0 bench=complex_updates cycles=4196 instructions=2553 cache-misses=8
[sample=147] cpu=0 bench=complex_updates cycles=4030 instructions=2553 cache-misses=4
[sample=148] cpu=0 bench=complex_updates cycles=3590 instructions=2553 cache-misses=4
[sample=149] cpu=0 bench=complex_updates cycles=3654 instructions=2553 cache-misses=1
[sample=150] cpu=0 bench=complex_updates cycles=3617 instructions=2553 cache-misses=6
[sample=151] cpu=0 bench=complex_updates cycles=4243 instructions=2553 cache-misses=6
[sample=152] cpu=0 bench=complex_updates cycles=7841 instructions=2553 cache-misses=6
[sample=153] cpu=0 bench=complex_updates cycles=5359 instructions=2553 cache-misses=3
[sample=154] cpu=0 bench=complex_updates cycles=3943 instructions=2553 cache-misses=2
[sample=155] cpu=0 bench=complex_updates cycles=3591 instructions=2553 cache-misses=5
[sample=156] cpu=0 bench=complex_updates cycles=3549 instructions=2553 cache-misses=2
[sample=157] cpu=0 bench=complex_updates cycles=3611 instructions=2553 cache-misses=5
[sample=158] cpu=0 bench=complex_updates cycles=5598 instructions=2553 cache-misses=8
[sample=159] cpu=0 bench=complex_updates cycles=3571 instructions=2553 cache-misses=5
[sample=160] cpu=0 bench=complex_updates cycles=3645 instructions=2553 cache-misses=3
[sample=161] cpu=0 bench=complex_updates cycles=3603 instructions=2553 cache-misses=4
[sample=162] cpu=0 bench=complex_updates cycles=3618 instructions=2553 cache-misses=3
[sample=163] cpu=0 bench=complex_updates cycles=3818 instructions=2553 cache-misses=4
[sample=164] cpu=0 bench=complex_updates cycles=3972 instructions=2553 cache-misses=9
[sample=165] cpu=0 bench=complex_updates cycles=3994 instructions=2553 cache-misses=4
[sample=166] cpu=0 bench=complex_updates cycles=3649 instructions=2553 cache-misses=7
