# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=232] cpu=0 bench=bitcount cycles=30352 instructions=24581 cache-misses=12
[sample=233] cpu=0 bench=bitcount cycles=32232 instructions=24580 cache-misses=16
[sample=234] cpu=0 bench=bitcount cycles=31545 instructions=24581 cache-misses=10
[sample=235] cpu=0 bench=bitcount cycles=31592 instructions=24580 cache-misses=13
[sample=236] cpu=0 bench=bitcount cycles=30284 instructions=24581 cache-misses=8
[sample=237] cpu=0 bench=bitcount cycles=30267 instructions=24581 cache-misses=9
[sample=238] cpu=0 bench=bitcount cycles=30996 instructions=24581 cache-misses=9
[sample=239] cpu=0 bench=bitcount cycles=31147 instructions=24581 cache-misses=12
[sample=240] cpu=0 bench=bitcount cycles=32493 instructions=24581 cache-misses=11
[sample=241] cpu=0 bench=bitcount cycles=30284 instructions=24581 cache-misses=12
[sample=242] cpu=0 bench=bitcount cycles=30315 instructions=24581 cache-misses=12
[sample=243] cpu=0 bench=bitcount cycles=30301 instructions=24581 cache-misses=11
[sample=244] cpu=0 bench=bitcount cycles=31087 instructions=24581 cache-misses=11
[sample=245] cpu=0 bench=bitcount cycles=35017 instructions=24582 cache-misses=10
[sample=246] cpu=0 bench=bitcount cycles=30773 instructions=24581 cache-misses=11
[sample=247] cpu=0 bench=bitcount cycles=31257 instructions=24581 cache-misses=11
[sample=248] cpu=0 bench=bitcount cycles=32300 instructions=24580 cache-misses=11
[sample=249] cpu=0 bench=bitcount cycles=31041 instructions=24582 cache-misses=10
[sample=250] cpu=0 bench=bitcount cycles=31425 instructions=24582 cache-misses=9
[sample=251] cpu=0 bench=bitcount cycles=30282 instructions=24582 cache-misses=9
[sample=252] cpu=0 bench=bitcount cycles=30348 instructions=24581 cache-misses=9
[sample=253] cpu=0 bench=bitcount cycles=31130 instructions=24582 cache-misses=13
[sample=254] cpu=0 bench=bitcount cycles=31313 instructions=24583 cache-misses=12
[sample=255] cpu=0 bench=bitcount cycles=35584 instructions=24582 cache-misses=14
[sample=256] cpu=0 bench=bitcount cycles=30245 instructions=24580 cache-misses=12
[sample=257] cpu=0 bench=bitcount cycles=30308 instructions=24582 cache-misses=13
[sample=258] cpu=0 bench=bitcount cycles=30315 instructions=24582 cache-misses=12
[sample=259] cpu=0 bench=bitcount cycles=31075 instructions=24581 cache-misses=13
[sample=260] cpu=0 bench=bitcount cycles=30854 instructions=24581 cache-misses=12
[sample=261] cpu=0 bench=bitcount cycles=34958 instructions=24582 cache-misses=11
[sample=262] cpu=0 bench=bitcount cycles=30268 instructions=24582 cache-misses=11
[sample=263] cpu=0 bench=bitcount cycles=30283 instructions=24582 cache-misses=11
[sample=264] cpu=0 bench=bitcount cycles=30960 instructions=24581 cache-misses=12
[sample=265] cpu=0 bench=bitcount cycles=30820 instructions=24581 cache-misses=11
[sample=266] cpu=0 bench=bitcount cycles=31161 instructions=24581 cache-misses=12
[sample=267] cpu=0 bench=bitcount cycles=30247 instructions=24582 cache-misses=13
[sample=268] cpu=0 bench=bitcount cycles=30283 instructions=24581 cache-misses=14
[sample=269] cpu=0 bench=bitcount cycles=30280 instructions=24581 cache-misses=11
[sample=270] cpu=0 bench=bitcount cycles=31251 instructions=24581 cache-misses=13
[sample=271] cpu=0 bench=bitcount cycles=33992 instructions=24581 cache-misses=13
[sample=272] cpu=0 bench=bitcount cycles=32068 instructions=24581 cache-misses=12
[sample=273] cpu=0 bench=bitcount cycles=30331 instructions=24580 cache-misses=15
[sample=274] cpu=0 bench=bitcount cycles=30255 instructions=24581 cache-misses=12
[sample=275] cpu=0 bench=bitcount cycles=30993 instructions=24582 cache-misses=12
[sample=276] cpu=0 bench=bitcount cycles=31057 instructions=24581 cache-misses=12
[sample=277] cpu=0 bench=bitcount cycles=31267 instructions=24582 cache-misses=9
[sample=278] cpu=0 bench=bitcount cycles=30420 instructions=24583 cache-misses=9
[sample=279] cpu=0 bench=bitcount cycles=30317 instructions=24583 cache-misses=11
[sample=280] cpu=0 bench=bitcount cycles=30266 instructions=24582 cache-misses=12
[sample=281] cpu=0 bench=bitcount cycles=31284 instructions=24582 cache-misses=10
[sample=282] cpu=0 bench=bitcount cycles=31179 instructions=24582 cache-misses=10
[sample=283] cpu=0 bench=bitcount cycles=32124 instructions=24582 cache-misses=14
[sample=284] cpu=0 bench=bitcount cycles=31312 instructions=24581 cache-misses=10
[sample=285] cpu=0 bench=bitcount cycles=31286 instructions=24581 cache-misses=11
[sample=286] cpu=0 bench=bitcount cycles=34099 instructions=24582 cache-misses=10
[sample=287] cpu=0 bench=bitcount cycles=30344 instructions=24583 cache-misses=10
[sample=288] cpu=0 bench=bitcount cycles=30286 instructions=24582 cache-misses=11
[sample=289] cpu=0 bench=bitcount cycles=30498 instructions=24582 cache-misses=9
