# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_enc (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=136] cpu=0 bench=adpcm_enc cycles=321330 instructions=223676 cache-misses=25
[sample=137] cpu=0 bench=adpcm_enc cycles=326594 instructions=223673 cache-misses=23
[sample=138] cpu=0 bench=adpcm_enc cycles=314380 instructions=223672 cache-misses=15
[sample=139] cpu=0 bench=adpcm_enc cycles=308946 instructions=223673 cache-misses=20
[sample=140] cpu=0 bench=adpcm_enc cycles=320169 instructions=223673 cache-misses=13
[sample=141] cpu=0 bench=adpcm_enc cycles=311047 instructions=223674 cache-misses=14
[sample=142] cpu=0 bench=adpcm_enc cycles=330394 instructions=223673 cache-misses=21
[sample=143] cpu=0 bench=adpcm_enc cycles=325984 instructions=223674 cache-misses=20
[sample=144] cpu=0 bench=adpcm_enc cycles=312926 instructions=223673 cache-misses=10
[sample=145] cpu=0 bench=adpcm_enc cycles=314234 instructions=223672 cache-misses=9
[sample=146] cpu=0 bench=adpcm_enc cycles=316765 instructions=223673 cache-misses=11
[sample=147] cpu=0 bench=adpcm_enc cycles=325396 instructions=223675 cache-misses=24
[sample=148] cpu=0 bench=adpcm_enc cycles=600495 instructions=223672 cache-misses=20
[sample=149] cpu=0 bench=adpcm_enc cycles=353500 instructions=223672 cache-misses=17
[sample=150] cpu=0 bench=adpcm_enc cycles=328144 instructions=223672 cache-misses=16
[sample=151] cpu=0 bench=adpcm_enc cycles=333388 instructions=223672 cache-misses=18
[sample=152] cpu=0 bench=adpcm_enc cycles=325575 instructions=223672 cache-misses=12
[sample=153] cpu=0 bench=adpcm_enc cycles=319823 instructions=223673 cache-misses=12
[sample=154] cpu=0 bench=adpcm_enc cycles=325505 instructions=223672 cache-misses=13
[sample=155] cpu=0 bench=adpcm_enc cycles=313794 instructions=223673 cache-misses=15
[sample=156] cpu=0 bench=adpcm_enc cycles=317330 instructions=223676 cache-misses=22
[sample=157] cpu=0 bench=adpcm_enc cycles=321932 instructions=223672 cache-misses=24
[sample=158] cpu=0 bench=adpcm_enc cycles=321221 instructions=223672 cache-misses=19
[sample=159] cpu=0 bench=adpcm_enc cycles=318360 instructions=223673 cache-misses=13
[sample=160] cpu=0 bench=adpcm_enc cycles=314772 instructions=223672 cache-misses=15
[sample=161] cpu=0 bench=adpcm_enc cycles=320525 instructions=223672 cache-misses=20
[sample=162] cpu=0 bench=adpcm_enc cycles=315286 instructions=223673 cache-misses=15
[sample=163] cpu=0 bench=adpcm_enc cycles=313276 instructions=223672 cache-misses=15
[sample=164] cpu=0 bench=adpcm_enc cycles=316702 instructions=223672 cache-misses=12
[sample=165] cpu=0 bench=adpcm_enc cycles=310397 instructions=223673 cache-misses=14
[sample=166] cpu=0 bench=adpcm_enc cycles=308488 instructions=223674 cache-misses=15
[sample=167] cpu=0 bench=adpcm_enc cycles=317698 instructions=223676 cache-misses=23
[sample=168] cpu=0 bench=adpcm_enc cycles=310600 instructions=223672 cache-misses=27
[sample=169] cpu=0 bench=adpcm_enc cycles=307257 instructions=223673 cache-misses=17
[sample=170] cpu=0 bench=adpcm_enc cycles=314733 instructions=223672 cache-misses=16
[sample=171] cpu=0 bench=adpcm_enc cycles=311160 instructions=223672 cache-misses=14
[sample=172] cpu=0 bench=adpcm_enc cycles=311708 instructions=223673 cache-misses=12
[sample=173] cpu=0 bench=adpcm_enc cycles=314662 instructions=223673 cache-misses=14
[sample=174] cpu=0 bench=adpcm_enc cycles=314325 instructions=223672 cache-misses=18
[sample=175] cpu=0 bench=adpcm_enc cycles=308280 instructions=223673 cache-misses=19
[sample=176] cpu=0 bench=adpcm_enc cycles=309402 instructions=223672 cache-misses=14
[sample=177] cpu=0 bench=adpcm_enc cycles=314009 instructions=223672 cache-misses=16
[sample=178] cpu=0 bench=adpcm_enc cycles=307770 instructions=223672 cache-misses=17
[sample=179] cpu=0 bench=adpcm_enc cycles=312589 instructions=223672 cache-misses=15
[sample=180] cpu=0 bench=adpcm_enc cycles=330706 instructions=223675 cache-misses=25
[sample=181] cpu=0 bench=adpcm_enc cycles=321243 instructions=223672 cache-misses=20
[sample=182] cpu=0 bench=adpcm_enc cycles=312881 instructions=223673 cache-misses=20
[sample=183] cpu=0 bench=adpcm_enc cycles=316349 instructions=223673 cache-misses=16
[sample=184] cpu=0 bench=adpcm_enc cycles=318286 instructions=223673 cache-misses=16
[sample=185] cpu=0 bench=adpcm_enc cycles=312188 instructions=223673 cache-misses=15
[sample=186] cpu=0 bench=adpcm_enc cycles=321153 instructions=223674 cache-misses=14
[sample=187] cpu=0 bench=adpcm_enc cycles=311667 instructions=223673 cache-misses=14
[sample=188] cpu=0 bench=adpcm_enc cycles=309008 instructions=223673 cache-misses=16
[sample=189] cpu=0 bench=adpcm_enc cycles=319591 instructions=223674 cache-misses=18
[sample=190] cpu=0 bench=adpcm_enc cycles=335048 instructions=223673 cache-misses=20
[sample=191] cpu=0 bench=adpcm_enc cycles=322853 instructions=223675 cache-misses=27
[sample=192] cpu=0 bench=adpcm_enc cycles=334556 instructions=223673 cache-misses=24
[sample=193] cpu=0 bench=adpcm_enc cycles=317341 instructions=223673 cache-misses=18
[sample=194] cpu=0 bench=adpcm_enc cycles=315978 instructions=223674 cache-misses=13
[sample=195] cpu=0 bench=adpcm_enc cycles=316188 instructions=223672 cache-misses=19
[sample=196] cpu=0 bench=adpcm_enc cycles=316506 instructions=223674 cache-misses=17
