# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=143] cpu=0 bench=duff cycles=5412 instructions=3909 cache-misses=2
[sample=144] cpu=0 bench=duff cycles=4778 instructions=3909 cache-misses=2
[sample=145] cpu=0 bench=duff cycles=4729 instructions=3909 cache-misses=1
[sample=146] cpu=0 bench=duff cycles=4908 instructions=3909 cache-misses=0
[sample=147] cpu=0 bench=duff cycles=5150 instructions=3909 cache-misses=0
[sample=148] cpu=0 bench=duff cycles=5227 instructions=3909 cache-misses=1
[sample=149] cpu=0 bench=duff cycles=4990 instructions=3909 cache-misses=1
[sample=150] cpu=0 bench=duff cycles=5153 instructions=3909 cache-misses=1
[sample=151] cpu=0 bench=duff cycles=4995 instructions=3909 cache-misses=1
[sample=152] cpu=0 bench=duff cycles=4765 instructions=3909 cache-misses=0
[sample=153] cpu=0 bench=duff cycles=4784 instructions=3909 cache-misses=1
[sample=154] cpu=0 bench=duff cycles=4834 instructions=3909 cache-misses=1
[sample=155] cpu=0 bench=duff cycles=5023 instructions=3909 cache-misses=1
[sample=156] cpu=0 bench=duff cycles=5038 instructions=3909 cache-misses=2
[sample=157] cpu=0 bench=duff cycles=5759 instructions=3909 cache-misses=2
[sample=158] cpu=0 bench=duff cycles=4982 instructions=3909 cache-misses=0
[sample=159] cpu=0 bench=duff cycles=5286 instructions=3909 cache-misses=2
[sample=160] cpu=0 bench=duff cycles=7896 instructions=3909 cache-misses=2
[sample=161] cpu=0 bench=duff cycles=16561 instructions=3909 cache-misses=1
[sample=162] cpu=0 bench=duff cycles=7843 instructions=3909 cache-misses=2
[sample=163] cpu=0 bench=duff cycles=5172 instructions=3909 cache-misses=1
[sample=164] cpu=0 bench=duff cycles=5588 instructions=3909 cache-misses=1
[sample=165] cpu=0 bench=duff cycles=8867 instructions=3909 cache-misses=1
[sample=166] cpu=0 bench=duff cycles=4752 instructions=3909 cache-misses=2
[sample=167] cpu=0 bench=duff cycles=4801 instructions=3909 cache-misses=1
[sample=168] cpu=0 bench=duff cycles=5690 instructions=3909 cache-misses=1
[sample=169] cpu=0 bench=duff cycles=9280 instructions=3909 cache-misses=1
[sample=170] cpu=0 bench=duff cycles=5005 instructions=3909 cache-misses=1
[sample=171] cpu=0 bench=duff cycles=5502 instructions=3909 cache-misses=1
[sample=172] cpu=0 bench=duff cycles=5512 instructions=3909 cache-misses=5
[sample=173] cpu=0 bench=duff cycles=5011 instructions=3909 cache-misses=2
[sample=174] cpu=0 bench=duff cycles=4762 instructions=3909 cache-misses=0
[sample=175] cpu=0 bench=duff cycles=4763 instructions=3909 cache-misses=1
[sample=176] cpu=0 bench=duff cycles=5440 instructions=3909 cache-misses=2
[sample=177] cpu=0 bench=duff cycles=5231 instructions=3909 cache-misses=1
[sample=178] cpu=0 bench=duff cycles=4966 instructions=3909 cache-misses=1
[sample=179] cpu=0 bench=duff cycles=5182 instructions=3909 cache-misses=1
[sample=180] cpu=0 bench=duff cycles=5017 instructions=3909 cache-misses=1
[sample=181] cpu=0 bench=duff cycles=5386 instructions=3909 cache-misses=1
[sample=182] cpu=0 bench=duff cycles=4823 instructions=3909 cache-misses=1
[sample=183] cpu=0 bench=duff cycles=4758 instructions=3909 cache-misses=1
[sample=184] cpu=0 bench=duff cycles=4782 instructions=3909 cache-misses=1
[sample=185] cpu=0 bench=duff cycles=5107 instructions=3909 cache-misses=0
[sample=186] cpu=0 bench=duff cycles=5236 instructions=3909 cache-misses=1
[sample=187] cpu=0 bench=duff cycles=4966 instructions=3909 cache-misses=1
[sample=188] cpu=0 bench=duff cycles=4886 instructions=3909 cache-misses=1
[sample=189] cpu=0 bench=duff cycles=5141 instructions=3909 cache-misses=1
[sample=190] cpu=0 bench=duff cycles=5484 instructions=3909 cache-misses=1
[sample=191] cpu=0 bench=duff cycles=5374 instructions=3909 cache-misses=1
[sample=192] cpu=0 bench=duff cycles=5242 instructions=3909 cache-misses=1
[sample=193] cpu=0 bench=duff cycles=4756 instructions=3909 cache-misses=2
[sample=194] cpu=0 bench=duff cycles=5203 instructions=3909 cache-misses=2
[sample=195] cpu=0 bench=duff cycles=5098 instructions=3909 cache-misses=2
[sample=196] cpu=0 bench=duff cycles=5265 instructions=3909 cache-misses=1
[sample=197] cpu=0 bench=duff cycles=5774 instructions=3909 cache-misses=0
[sample=198] cpu=0 bench=duff cycles=4833 instructions=3909 cache-misses=1
[sample=199] cpu=0 bench=duff cycles=4824 instructions=3909 cache-misses=1
[sample=200] cpu=0 bench=duff cycles=4990 instructions=3909 cache-misses=0
[sample=201] cpu=0 bench=duff cycles=5374 instructions=3909 cache-misses=1
[sample=202] cpu=0 bench=duff cycles=4990 instructions=3909 cache-misses=1
[sample=203] cpu=0 bench=duff cycles=5296 instructions=3909 cache-misses=1
[sample=204] cpu=0 bench=duff cycles=5519 instructions=3909 cache-misses=1
[sample=205] cpu=0 bench=duff cycles=5582 instructions=3909 cache-misses=1
[sample=206] cpu=0 bench=duff cycles=5219 instructions=3909 cache-misses=2
[sample=207] cpu=0 bench=duff cycles=4799 instructions=3909 cache-misses=1
[sample=208] cpu=0 bench=duff cycles=4793 instructions=3909 cache-misses=1
[sample=209] cpu=0 bench=duff cycles=4818 instructions=3909 cache-misses=1
[sample=210] cpu=0 bench=duff cycles=5343 instructions=3909 cache-misses=2
[sample=211] cpu=0 bench=duff cycles=5279 instructions=3909 cache-misses=2
[sample=212] cpu=0 bench=duff cycles=5534 instructions=3909 cache-misses=4
[sample=213] cpu=0 bench=duff cycles=5799 instructions=3909 cache-misses=4
[sample=214] cpu=0 bench=duff cycles=5501 instructions=3909 cache-misses=1
[sample=215] cpu=0 bench=duff cycles=4789 instructions=3909 cache-misses=1
[sample=216] cpu=0 bench=duff cycles=5253 instructions=3909 cache-misses=4
[sample=217] cpu=0 bench=duff cycles=5511 instructions=3909 cache-misses=1
[sample=218] cpu=0 bench=duff cycles=5437 instructions=3909 cache-misses=2
[sample=219] cpu=0 bench=duff cycles=5402 instructions=3909 cache-misses=3
[sample=220] cpu=0 bench=duff cycles=5145 instructions=3909 cache-misses=2
[sample=221] cpu=0 bench=duff cycles=5882 instructions=3909 cache-misses=1
[sample=222] cpu=0 bench=duff cycles=5195 instructions=3909 cache-misses=1
[sample=223] cpu=0 bench=duff cycles=4765 instructions=3909 cache-misses=1
[sample=224] cpu=0 bench=duff cycles=4801 instructions=3909 cache-misses=1
[sample=225] cpu=0 bench=duff cycles=4775 instructions=3909 cache-misses=1
[sample=226] cpu=0 bench=duff cycles=9263 instructions=3909 cache-misses=1
[sample=227] cpu=0 bench=duff cycles=5485 instructions=3909 cache-misses=1
[sample=228] cpu=0 bench=duff cycles=5917 instructions=3909 cache-misses=2
[sample=229] cpu=0 bench=duff cycles=5369 instructions=3909 cache-misses=2
[sample=230] cpu=0 bench=duff cycles=5559 instructions=3909 cache-misses=3
[sample=231] cpu=0 bench=duff cycles=5480 instructions=3909 cache-misses=1
[sample=232] cpu=0 bench=duff cycles=4786 instructions=3909 cache-misses=2
[sample=233] cpu=0 bench=duff cycles=4764 instructions=3909 cache-misses=1
[sample=234] cpu=0 bench=duff cycles=4752 instructions=3909 cache-misses=1
[sample=235] cpu=0 bench=duff cycles=5115 instructions=3909 cache-misses=2
[sample=236] cpu=0 bench=duff cycles=5441 instructions=3909 cache-misses=2
[sample=237] cpu=0 bench=duff cycles=5074 instructions=3909 cache-misses=2
[sample=238] cpu=0 bench=duff cycles=5374 instructions=3909 cache-misses=1
[sample=239] cpu=0 bench=duff cycles=5342 instructions=3909 cache-misses=1
[sample=240] cpu=0 bench=duff cycles=5359 instructions=3909 cache-misses=2
[sample=241] cpu=0 bench=duff cycles=4885 instructions=3909 cache-misses=1
[sample=242] cpu=0 bench=duff cycles=4796 instructions=3909 cache-misses=3
[sample=243] cpu=0 bench=duff cycles=4769 instructions=3909 cache-misses=2
[sample=244] cpu=0 bench=duff cycles=5377 instructions=3909 cache-misses=1
[sample=245] cpu=0 bench=duff cycles=5099 instructions=3909 cache-misses=1
[sample=246] cpu=0 bench=duff cycles=5048 instructions=3909 cache-misses=1
[sample=247] cpu=0 bench=duff cycles=6935 instructions=3909 cache-misses=3
[sample=248] cpu=0 bench=duff cycles=5059 instructions=3909 cache-misses=1
[sample=249] cpu=0 bench=duff cycles=5086 instructions=3909 cache-misses=1
[sample=250] cpu=0 bench=duff cycles=11184 instructions=3909 cache-misses=4
[sample=251] cpu=0 bench=duff cycles=6786 instructions=3909 cache-misses=3
[sample=252] cpu=0 bench=duff cycles=5853 instructions=3909 cache-misses=2
[sample=253] cpu=0 bench=duff cycles=5329 instructions=3909 cache-misses=1
[sample=254] cpu=0 bench=duff cycles=5562 instructions=3909 cache-misses=1
[sample=255] cpu=0 bench=duff cycles=5209 instructions=3909 cache-misses=2
[sample=256] cpu=0 bench=duff cycles=4771 instructions=3909 cache-misses=2
[sample=257] cpu=0 bench=duff cycles=4831 instructions=3909 cache-misses=2
[sample=258] cpu=0 bench=duff cycles=4783 instructions=3909 cache-misses=1
