# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=jfdctint (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=158] cpu=0 bench=jfdctint cycles=17706 instructions=6381 cache-misses=6
[sample=159] cpu=0 bench=jfdctint cycles=45329 instructions=6381 cache-misses=2
[sample=160] cpu=0 bench=jfdctint cycles=19837 instructions=6381 cache-misses=3
[sample=161] cpu=0 bench=jfdctint cycles=40648 instructions=6381 cache-misses=5
[sample=162] cpu=0 bench=jfdctint cycles=10765 instructions=6381 cache-misses=2
[sample=163] cpu=0 bench=jfdctint cycles=14160 instructions=6381 cache-misses=2
[sample=164] cpu=0 bench=jfdctint cycles=8535 instructions=6381 cache-misses=4
[sample=165] cpu=0 bench=jfdctint cycles=9399 instructions=6381 cache-misses=3
[sample=166] cpu=0 bench=jfdctint cycles=9297 instructions=6381 cache-misses=4
[sample=167] cpu=0 bench=jfdctint cycles=10034 instructions=6381 cache-misses=3
[sample=168] cpu=0 bench=jfdctint cycles=9723 instructions=6381 cache-misses=4
[sample=169] cpu=0 bench=jfdctint cycles=14180 instructions=6381 cache-misses=3
[sample=170] cpu=0 bench=jfdctint cycles=9058 instructions=6381 cache-misses=2
[sample=171] cpu=0 bench=jfdctint cycles=9183 instructions=6381 cache-misses=4
[sample=172] cpu=0 bench=jfdctint cycles=8678 instructions=6381 cache-misses=4
[sample=173] cpu=0 bench=jfdctint cycles=9566 instructions=6381 cache-misses=4
[sample=174] cpu=0 bench=jfdctint cycles=9367 instructions=6381 cache-misses=4
[sample=175] cpu=0 bench=jfdctint cycles=9978 instructions=6381 cache-misses=3
[sample=176] cpu=0 bench=jfdctint cycles=9367 instructions=6381 cache-misses=3
[sample=177] cpu=0 bench=jfdctint cycles=11850 instructions=6381 cache-misses=1
[sample=178] cpu=0 bench=jfdctint cycles=9475 instructions=6381 cache-misses=3
[sample=179] cpu=0 bench=jfdctint cycles=10535 instructions=6381 cache-misses=4
[sample=180] cpu=0 bench=jfdctint cycles=9111 instructions=6381 cache-misses=3
[sample=181] cpu=0 bench=jfdctint cycles=9040 instructions=6381 cache-misses=3
[sample=182] cpu=0 bench=jfdctint cycles=9233 instructions=6381 cache-misses=4
[sample=183] cpu=0 bench=jfdctint cycles=10273 instructions=6381 cache-misses=3
[sample=184] cpu=0 bench=jfdctint cycles=9516 instructions=6381 cache-misses=3
[sample=185] cpu=0 bench=jfdctint cycles=9651 instructions=6381 cache-misses=3
[sample=186] cpu=0 bench=jfdctint cycles=13882 instructions=6381 cache-misses=4
[sample=187] cpu=0 bench=jfdctint cycles=9448 instructions=6381 cache-misses=2
[sample=188] cpu=0 bench=jfdctint cycles=8494 instructions=6381 cache-misses=2
[sample=189] cpu=0 bench=jfdctint cycles=8458 instructions=6381 cache-misses=3
[sample=190] cpu=0 bench=jfdctint cycles=9052 instructions=6381 cache-misses=1
[sample=191] cpu=0 bench=jfdctint cycles=9811 instructions=6381 cache-misses=4
[sample=192] cpu=0 bench=jfdctint cycles=9387 instructions=6381 cache-misses=3
