# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=susan (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=120] cpu=0 bench=susan cycles=79545600 instructions=64456259 cache-misses=500
[sample=121] cpu=0 bench=susan cycles=79329272 instructions=64456258 cache-misses=603
[sample=122] cpu=0 bench=susan cycles=79376765 instructions=64456264 cache-misses=587
[sample=123] cpu=0 bench=susan cycles=79335568 instructions=64456261 cache-misses=530
[sample=124] cpu=0 bench=susan cycles=79235820 instructions=64456260 cache-misses=593
[sample=125] cpu=0 bench=susan cycles=79425139 instructions=64456261 cache-misses=680
[sample=126] cpu=0 bench=susan cycles=79316517 instructions=64456262 cache-misses=641
[sample=127] cpu=0 bench=susan cycles=79432157 instructions=64456262 cache-misses=622
[sample=128] cpu=0 bench=susan cycles=79367153 instructions=64456263 cache-misses=539
[sample=129] cpu=0 bench=susan cycles=79308687 instructions=64456263 cache-misses=634
[sample=130] cpu=0 bench=susan cycles=79409889 instructions=64456275 cache-misses=667
[sample=131] cpu=0 bench=susan cycles=79381956 instructions=64456257 cache-misses=595
[sample=132] cpu=0 bench=susan cycles=79207089 instructions=64456268 cache-misses=566
[sample=133] cpu=0 bench=susan cycles=79327945 instructions=64456276 cache-misses=686
[sample=134] cpu=0 bench=susan cycles=79267785 instructions=64456272 cache-misses=620
[sample=135] cpu=0 bench=susan cycles=79294567 instructions=64456267 cache-misses=500
[sample=136] cpu=0 bench=susan cycles=79595838 instructions=64456263 cache-misses=599
[sample=137] cpu=0 bench=susan cycles=79463110 instructions=64456264 cache-misses=678
[sample=138] cpu=0 bench=susan cycles=79318067 instructions=64456263 cache-misses=616
[sample=139] cpu=0 bench=susan cycles=79381115 instructions=64456255 cache-misses=701
[sample=140] cpu=0 bench=susan cycles=79238638 instructions=64456261 cache-misses=603
[sample=141] cpu=0 bench=susan cycles=79425846 instructions=64456261 cache-misses=604
[sample=142] cpu=0 bench=susan cycles=79351496 instructions=64456260 cache-misses=537
[sample=143] cpu=0 bench=susan cycles=79373005 instructions=64456259 cache-misses=681
[sample=144] cpu=0 bench=susan cycles=79451999 instructions=64456259 cache-misses=625
[sample=145] cpu=0 bench=susan cycles=79568341 instructions=64456255 cache-misses=713
[sample=146] cpu=0 bench=susan cycles=79430838 instructions=64456260 cache-misses=557
[sample=147] cpu=0 bench=susan cycles=79363045 instructions=64456262 cache-misses=678
[sample=148] cpu=0 bench=susan cycles=79527193 instructions=64456263 cache-misses=625
[sample=149] cpu=0 bench=susan cycles=79264754 instructions=64456258 cache-misses=620
[sample=150] cpu=0 bench=susan cycles=79414405 instructions=64456275 cache-misses=657
[sample=151] cpu=0 bench=susan cycles=79367571 instructions=64456260 cache-misses=632
[sample=152] cpu=0 bench=susan cycles=79492027 instructions=64456265 cache-misses=693
[sample=153] cpu=0 bench=susan cycles=79387344 instructions=64456266 cache-misses=642
[sample=154] cpu=0 bench=susan cycles=79859399 instructions=64456264 cache-misses=577
[sample=155] cpu=0 bench=susan cycles=79409077 instructions=64456261 cache-misses=677
[sample=156] cpu=0 bench=susan cycles=79554812 instructions=64456260 cache-misses=699
