# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=153] cpu=0 bench=bitcount cycles=31469 instructions=24581 cache-misses=15
[sample=154] cpu=0 bench=bitcount cycles=31063 instructions=24582 cache-misses=11
[sample=155] cpu=0 bench=bitcount cycles=31412 instructions=24580 cache-misses=15
[sample=156] cpu=0 bench=bitcount cycles=30293 instructions=24582 cache-misses=13
[sample=157] cpu=0 bench=bitcount cycles=30367 instructions=24580 cache-misses=13
[sample=158] cpu=0 bench=bitcount cycles=31037 instructions=24581 cache-misses=13
[sample=159] cpu=0 bench=bitcount cycles=31968 instructions=24580 cache-misses=12
[sample=160] cpu=0 bench=bitcount cycles=32106 instructions=24580 cache-misses=18
[sample=161] cpu=0 bench=bitcount cycles=30307 instructions=24582 cache-misses=14
[sample=162] cpu=0 bench=bitcount cycles=30394 instructions=24581 cache-misses=13
[sample=163] cpu=0 bench=bitcount cycles=31085 instructions=24580 cache-misses=15
[sample=164] cpu=0 bench=bitcount cycles=31399 instructions=24582 cache-misses=14
[sample=165] cpu=0 bench=bitcount cycles=31465 instructions=24582 cache-misses=13
[sample=166] cpu=0 bench=bitcount cycles=31740 instructions=24581 cache-misses=15
[sample=167] cpu=0 bench=bitcount cycles=31618 instructions=24583 cache-misses=16
[sample=168] cpu=0 bench=bitcount cycles=31831 instructions=24582 cache-misses=16
[sample=169] cpu=0 bench=bitcount cycles=33124 instructions=24583 cache-misses=13
[sample=170] cpu=0 bench=bitcount cycles=33754 instructions=24582 cache-misses=14
[sample=171] cpu=0 bench=bitcount cycles=31773 instructions=24581 cache-misses=12
[sample=172] cpu=0 bench=bitcount cycles=30440 instructions=24580 cache-misses=16
[sample=173] cpu=0 bench=bitcount cycles=31059 instructions=24581 cache-misses=15
[sample=174] cpu=0 bench=bitcount cycles=33535 instructions=24581 cache-misses=16
[sample=175] cpu=0 bench=bitcount cycles=31222 instructions=24582 cache-misses=17
[sample=176] cpu=0 bench=bitcount cycles=32373 instructions=24582 cache-misses=14
[sample=177] cpu=0 bench=bitcount cycles=31777 instructions=24581 cache-misses=15
[sample=178] cpu=0 bench=bitcount cycles=30334 instructions=24582 cache-misses=13
[sample=179] cpu=0 bench=bitcount cycles=30430 instructions=24582 cache-misses=13
[sample=180] cpu=0 bench=bitcount cycles=30418 instructions=24581 cache-misses=15
[sample=181] cpu=0 bench=bitcount cycles=33007 instructions=24581 cache-misses=16
[sample=182] cpu=0 bench=bitcount cycles=32083 instructions=24581 cache-misses=12
[sample=183] cpu=0 bench=bitcount cycles=31382 instructions=24581 cache-misses=10
[sample=184] cpu=0 bench=bitcount cycles=30360 instructions=24580 cache-misses=14
[sample=185] cpu=0 bench=bitcount cycles=30312 instructions=24582 cache-misses=11
[sample=186] cpu=0 bench=bitcount cycles=36421 instructions=24582 cache-misses=14
[sample=187] cpu=0 bench=bitcount cycles=31998 instructions=24581 cache-misses=15
[sample=188] cpu=0 bench=bitcount cycles=32218 instructions=24581 cache-misses=15
[sample=189] cpu=0 bench=bitcount cycles=31542 instructions=24581 cache-misses=10
[sample=190] cpu=0 bench=bitcount cycles=30248 instructions=24582 cache-misses=11
[sample=191] cpu=0 bench=bitcount cycles=30435 instructions=24580 cache-misses=12
[sample=192] cpu=0 bench=bitcount cycles=34114 instructions=24581 cache-misses=13
[sample=193] cpu=0 bench=bitcount cycles=32740 instructions=24581 cache-misses=14
[sample=194] cpu=0 bench=bitcount cycles=30340 instructions=24581 cache-misses=14
[sample=195] cpu=0 bench=bitcount cycles=30356 instructions=24583 cache-misses=12
[sample=196] cpu=0 bench=bitcount cycles=32174 instructions=24581 cache-misses=16
[sample=197] cpu=0 bench=bitcount cycles=61982 instructions=24582 cache-misses=23
[sample=198] cpu=0 bench=bitcount cycles=48950 instructions=24580 cache-misses=19
[sample=199] cpu=0 bench=bitcount cycles=32395 instructions=24582 cache-misses=10
[sample=200] cpu=0 bench=bitcount cycles=30287 instructions=24580 cache-misses=12
[sample=201] cpu=0 bench=bitcount cycles=30288 instructions=24582 cache-misses=10
[sample=202] cpu=0 bench=bitcount cycles=30624 instructions=24582 cache-misses=13
[sample=203] cpu=0 bench=bitcount cycles=30726 instructions=24585 cache-misses=12
[sample=204] cpu=0 bench=bitcount cycles=30386 instructions=24581 cache-misses=9
[sample=205] cpu=0 bench=bitcount cycles=30462 instructions=24583 cache-misses=14
[sample=206] cpu=0 bench=bitcount cycles=32691 instructions=24581 cache-misses=17
[sample=207] cpu=0 bench=bitcount cycles=32028 instructions=24583 cache-misses=15
[sample=208] cpu=0 bench=bitcount cycles=32282 instructions=24581 cache-misses=13
[sample=209] cpu=0 bench=bitcount cycles=33313 instructions=24581 cache-misses=13
[sample=210] cpu=0 bench=bitcount cycles=30392 instructions=24581 cache-misses=14
[sample=211] cpu=0 bench=bitcount cycles=30368 instructions=24582 cache-misses=17
[sample=212] cpu=0 bench=bitcount cycles=32561 instructions=24581 cache-misses=15
[sample=213] cpu=0 bench=bitcount cycles=33381 instructions=24581 cache-misses=11
[sample=214] cpu=0 bench=bitcount cycles=32314 instructions=24582 cache-misses=13
[sample=215] cpu=0 bench=bitcount cycles=31596 instructions=24583 cache-misses=13
[sample=216] cpu=0 bench=bitcount cycles=35068 instructions=24580 cache-misses=12
[sample=217] cpu=0 bench=bitcount cycles=30405 instructions=24581 cache-misses=13
[sample=218] cpu=0 bench=bitcount cycles=31665 instructions=24583 cache-misses=15
[sample=219] cpu=0 bench=bitcount cycles=31470 instructions=24584 cache-misses=12
[sample=220] cpu=0 bench=bitcount cycles=32705 instructions=24582 cache-misses=11
[sample=221] cpu=0 bench=bitcount cycles=34662 instructions=24583 cache-misses=19
[sample=222] cpu=0 bench=bitcount cycles=31652 instructions=24581 cache-misses=14
[sample=223] cpu=0 bench=bitcount cycles=30316 instructions=24581 cache-misses=11
[sample=224] cpu=0 bench=bitcount cycles=30384 instructions=24581 cache-misses=12
[sample=225] cpu=0 bench=bitcount cycles=30420 instructions=24582 cache-misses=13
[sample=226] cpu=0 bench=bitcount cycles=34244 instructions=24580 cache-misses=16
[sample=227] cpu=0 bench=bitcount cycles=36267 instructions=24581 cache-misses=16
[sample=228] cpu=0 bench=bitcount cycles=32640 instructions=24581 cache-misses=14
[sample=229] cpu=0 bench=bitcount cycles=31526 instructions=24581 cache-misses=14
[sample=230] cpu=0 bench=bitcount cycles=30349 instructions=24585 cache-misses=11
[sample=231] cpu=0 bench=bitcount cycles=30298 instructions=24580 cache-misses=14
[sample=232] cpu=0 bench=bitcount cycles=32771 instructions=24581 cache-misses=10
[sample=233] cpu=0 bench=bitcount cycles=36477 instructions=24580 cache-misses=15
[sample=234] cpu=0 bench=bitcount cycles=37524 instructions=24580 cache-misses=11
[sample=235] cpu=0 bench=bitcount cycles=32122 instructions=24580 cache-misses=11
[sample=236] cpu=0 bench=bitcount cycles=31097 instructions=24580 cache-misses=11
[sample=237] cpu=0 bench=bitcount cycles=30321 instructions=24580 cache-misses=11
[sample=238] cpu=0 bench=bitcount cycles=30381 instructions=24583 cache-misses=12
[sample=239] cpu=0 bench=bitcount cycles=32575 instructions=24580 cache-misses=12
[sample=240] cpu=0 bench=bitcount cycles=36201 instructions=24580 cache-misses=15
[sample=241] cpu=0 bench=bitcount cycles=32719 instructions=24581 cache-misses=9
[sample=242] cpu=0 bench=bitcount cycles=31350 instructions=24582 cache-misses=15
[sample=243] cpu=0 bench=bitcount cycles=38720 instructions=24583 cache-misses=18
[sample=244] cpu=0 bench=bitcount cycles=31782 instructions=24581 cache-misses=16
[sample=245] cpu=0 bench=bitcount cycles=32708 instructions=24582 cache-misses=15
[sample=246] cpu=0 bench=bitcount cycles=32605 instructions=24581 cache-misses=12
[sample=247] cpu=0 bench=bitcount cycles=31211 instructions=24582 cache-misses=12
[sample=248] cpu=0 bench=bitcount cycles=32195 instructions=24582 cache-misses=20
[sample=249] cpu=0 bench=bitcount cycles=37181 instructions=24583 cache-misses=18
[sample=250] cpu=0 bench=bitcount cycles=32910 instructions=24583 cache-misses=10
[sample=251] cpu=0 bench=bitcount cycles=34792 instructions=24584 cache-misses=15
[sample=252] cpu=0 bench=bitcount cycles=30433 instructions=24583 cache-misses=14
[sample=253] cpu=0 bench=bitcount cycles=30405 instructions=24582 cache-misses=14
[sample=254] cpu=0 bench=bitcount cycles=31640 instructions=24581 cache-misses=13
[sample=255] cpu=0 bench=bitcount cycles=31303 instructions=24583 cache-misses=13
[sample=256] cpu=0 bench=bitcount cycles=35896 instructions=24582 cache-misses=16
[sample=257] cpu=0 bench=bitcount cycles=35289 instructions=24582 cache-misses=11
[sample=258] cpu=0 bench=bitcount cycles=30321 instructions=24583 cache-misses=11
[sample=259] cpu=0 bench=bitcount cycles=30347 instructions=24583 cache-misses=14
[sample=260] cpu=0 bench=bitcount cycles=31090 instructions=24581 cache-misses=12
[sample=261] cpu=0 bench=bitcount cycles=31642 instructions=24581 cache-misses=14
[sample=262] cpu=0 bench=bitcount cycles=31403 instructions=24581 cache-misses=10
[sample=263] cpu=0 bench=bitcount cycles=30334 instructions=24581 cache-misses=15
[sample=264] cpu=0 bench=bitcount cycles=30297 instructions=24582 cache-misses=14
[sample=265] cpu=0 bench=bitcount cycles=30342 instructions=24584 cache-misses=15
[sample=266] cpu=0 bench=bitcount cycles=30893 instructions=24581 cache-misses=14
[sample=267] cpu=0 bench=bitcount cycles=31507 instructions=24582 cache-misses=9
[sample=268] cpu=0 bench=bitcount cycles=35260 instructions=24583 cache-misses=12
[sample=269] cpu=0 bench=bitcount cycles=30373 instructions=24582 cache-misses=16
[sample=270] cpu=0 bench=bitcount cycles=30394 instructions=24581 cache-misses=16
[sample=271] cpu=0 bench=bitcount cycles=30364 instructions=24581 cache-misses=13
[sample=272] cpu=0 bench=bitcount cycles=35500 instructions=24582 cache-misses=12
[sample=273] cpu=0 bench=bitcount cycles=31200 instructions=24582 cache-misses=18
[sample=274] cpu=0 bench=bitcount cycles=30338 instructions=24582 cache-misses=9
[sample=275] cpu=0 bench=bitcount cycles=30309 instructions=24583 cache-misses=13
[sample=276] cpu=0 bench=bitcount cycles=30300 instructions=24582 cache-misses=14
[sample=277] cpu=0 bench=bitcount cycles=34456 instructions=24582 cache-misses=9
[sample=278] cpu=0 bench=bitcount cycles=31004 instructions=24583 cache-misses=12
[sample=279] cpu=0 bench=bitcount cycles=33932 instructions=24582 cache-misses=12
[sample=280] cpu=0 bench=bitcount cycles=30331 instructions=24583 cache-misses=18
[sample=281] cpu=0 bench=bitcount cycles=30333 instructions=24583 cache-misses=11
[sample=282] cpu=0 bench=bitcount cycles=30710 instructions=24582 cache-misses=15
[sample=283] cpu=0 bench=bitcount cycles=33718 instructions=24582 cache-misses=14
[sample=284] cpu=0 bench=bitcount cycles=30975 instructions=24581 cache-misses=14
[sample=285] cpu=0 bench=bitcount cycles=30349 instructions=24582 cache-misses=13
[sample=286] cpu=0 bench=bitcount cycles=30357 instructions=24582 cache-misses=15
[sample=287] cpu=0 bench=bitcount cycles=30359 instructions=24583 cache-misses=15
[sample=288] cpu=0 bench=bitcount cycles=31309 instructions=24582 cache-misses=13
[sample=289] cpu=0 bench=bitcount cycles=30983 instructions=24584 cache-misses=14
[sample=290] cpu=0 bench=bitcount cycles=30765 instructions=24581 cache-misses=12
[sample=291] cpu=0 bench=bitcount cycles=35614 instructions=24583 cache-misses=18
[sample=292] cpu=0 bench=bitcount cycles=30337 instructions=24582 cache-misses=13
[sample=293] cpu=0 bench=bitcount cycles=30721 instructions=24581 cache-misses=16
[sample=294] cpu=0 bench=bitcount cycles=30334 instructions=24581 cache-misses=14
[sample=295] cpu=0 bench=bitcount cycles=31143 instructions=24581 cache-misses=16
[sample=296] cpu=0 bench=bitcount cycles=33314 instructions=24582 cache-misses=14
[sample=297] cpu=0 bench=bitcount cycles=30451 instructions=24581 cache-misses=18
[sample=298] cpu=0 bench=bitcount cycles=30385 instructions=24581 cache-misses=12
[sample=299] cpu=0 bench=bitcount cycles=30450 instructions=24586 cache-misses=9
[sample=300] cpu=0 bench=bitcount cycles=34826 instructions=24581 cache-misses=17
[sample=301] cpu=0 bench=bitcount cycles=31133 instructions=24583 cache-misses=16
[sample=302] cpu=0 bench=bitcount cycles=30298 instructions=24581 cache-misses=10
[sample=303] cpu=0 bench=bitcount cycles=30346 instructions=24582 cache-misses=13
[sample=304] cpu=0 bench=bitcount cycles=30359 instructions=24582 cache-misses=13
[sample=305] cpu=0 bench=bitcount cycles=31348 instructions=24579 cache-misses=16
[sample=306] cpu=0 bench=bitcount cycles=30674 instructions=24580 cache-misses=15
[sample=307] cpu=0 bench=bitcount cycles=31640 instructions=24581 cache-misses=11
[sample=308] cpu=0 bench=bitcount cycles=30376 instructions=24582 cache-misses=12
[sample=309] cpu=0 bench=bitcount cycles=30348 instructions=24581 cache-misses=12
[sample=310] cpu=0 bench=bitcount cycles=30417 instructions=24580 cache-misses=10
[sample=311] cpu=0 bench=bitcount cycles=31147 instructions=24583 cache-misses=12
[sample=312] cpu=0 bench=bitcount cycles=31069 instructions=24583 cache-misses=14
[sample=313] cpu=0 bench=bitcount cycles=30369 instructions=24583 cache-misses=11
[sample=314] cpu=0 bench=bitcount cycles=30352 instructions=24582 cache-misses=11
[sample=315] cpu=0 bench=bitcount cycles=30305 instructions=24583 cache-misses=13
[sample=316] cpu=0 bench=bitcount cycles=30618 instructions=24583 cache-misses=13
[sample=317] cpu=0 bench=bitcount cycles=32151 instructions=24582 cache-misses=15
[sample=318] cpu=0 bench=bitcount cycles=31086 instructions=24582 cache-misses=21
[sample=319] cpu=0 bench=bitcount cycles=30364 instructions=24583 cache-misses=12
[sample=320] cpu=0 bench=bitcount cycles=30376 instructions=24582 cache-misses=13
[sample=321] cpu=0 bench=bitcount cycles=30959 instructions=24583 cache-misses=14
[sample=322] cpu=0 bench=bitcount cycles=30987 instructions=24581 cache-misses=11
[sample=323] cpu=0 bench=bitcount cycles=34208 instructions=24582 cache-misses=15
[sample=324] cpu=0 bench=bitcount cycles=30277 instructions=24582 cache-misses=13
[sample=325] cpu=0 bench=bitcount cycles=30398 instructions=24583 cache-misses=14
