# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=138] cpu=0 bench=ndes cycles=106499 instructions=83049 cache-misses=32
[sample=139] cpu=0 bench=ndes cycles=105238 instructions=83050 cache-misses=35
[sample=140] cpu=0 bench=ndes cycles=110705 instructions=83048 cache-misses=32
[sample=141] cpu=0 bench=ndes cycles=111468 instructions=83050 cache-misses=38
[sample=142] cpu=0 bench=ndes cycles=105621 instructions=83049 cache-misses=46
[sample=143] cpu=0 bench=ndes cycles=108534 instructions=83051 cache-misses=41
[sample=144] cpu=0 bench=ndes cycles=107368 instructions=83050 cache-misses=40
[sample=145] cpu=0 bench=ndes cycles=107576 instructions=83049 cache-misses=34
[sample=146] cpu=0 bench=ndes cycles=105435 instructions=83050 cache-misses=40
[sample=147] cpu=0 bench=ndes cycles=109956 instructions=83050 cache-misses=37
[sample=148] cpu=0 bench=ndes cycles=110828 instructions=83050 cache-misses=37
[sample=149] cpu=0 bench=ndes cycles=107947 instructions=83050 cache-misses=38
[sample=150] cpu=0 bench=ndes cycles=105555 instructions=83050 cache-misses=44
[sample=151] cpu=0 bench=ndes cycles=109480 instructions=83052 cache-misses=34
[sample=152] cpu=0 bench=ndes cycles=108580 instructions=83051 cache-misses=38
[sample=153] cpu=0 bench=ndes cycles=110161 instructions=83052 cache-misses=54
[sample=154] cpu=0 bench=ndes cycles=112174 instructions=83049 cache-misses=40
[sample=155] cpu=0 bench=ndes cycles=107263 instructions=83050 cache-misses=39
[sample=156] cpu=0 bench=ndes cycles=105540 instructions=83051 cache-misses=43
[sample=157] cpu=0 bench=ndes cycles=110361 instructions=83050 cache-misses=40
[sample=158] cpu=0 bench=ndes cycles=113572 instructions=83051 cache-misses=51
[sample=159] cpu=0 bench=ndes cycles=105469 instructions=83050 cache-misses=40
[sample=160] cpu=0 bench=ndes cycles=107080 instructions=83051 cache-misses=35
[sample=161] cpu=0 bench=ndes cycles=108531 instructions=83051 cache-misses=34
[sample=162] cpu=0 bench=ndes cycles=108230 instructions=83049 cache-misses=31
[sample=163] cpu=0 bench=ndes cycles=105480 instructions=83050 cache-misses=38
[sample=164] cpu=0 bench=ndes cycles=111724 instructions=83052 cache-misses=39
[sample=165] cpu=0 bench=ndes cycles=109136 instructions=83051 cache-misses=35
[sample=166] cpu=0 bench=ndes cycles=107680 instructions=83050 cache-misses=45
[sample=167] cpu=0 bench=ndes cycles=106536 instructions=83050 cache-misses=46
[sample=168] cpu=0 bench=ndes cycles=114528 instructions=83050 cache-misses=40
[sample=169] cpu=0 bench=ndes cycles=110455 instructions=83049 cache-misses=40
[sample=170] cpu=0 bench=ndes cycles=105396 instructions=83050 cache-misses=41
[sample=171] cpu=0 bench=ndes cycles=105331 instructions=83050 cache-misses=34
[sample=172] cpu=0 bench=ndes cycles=111007 instructions=83050 cache-misses=45
[sample=173] cpu=0 bench=ndes cycles=109872 instructions=83051 cache-misses=42
[sample=174] cpu=0 bench=ndes cycles=111358 instructions=83049 cache-misses=38
[sample=175] cpu=0 bench=ndes cycles=113972 instructions=83050 cache-misses=39
[sample=176] cpu=0 bench=ndes cycles=105353 instructions=83050 cache-misses=43
[sample=177] cpu=0 bench=ndes cycles=109877 instructions=83051 cache-misses=29
[sample=178] cpu=0 bench=ndes cycles=114560 instructions=83051 cache-misses=38
[sample=179] cpu=0 bench=ndes cycles=106970 instructions=83050 cache-misses=39
[sample=180] cpu=0 bench=ndes cycles=108004 instructions=83054 cache-misses=53
[sample=181] cpu=0 bench=ndes cycles=114708 instructions=83051 cache-misses=46
[sample=182] cpu=0 bench=ndes cycles=107323 instructions=83050 cache-misses=52
[sample=183] cpu=0 bench=ndes cycles=106125 instructions=83050 cache-misses=38
[sample=184] cpu=0 bench=ndes cycles=106122 instructions=83050 cache-misses=43
[sample=185] cpu=0 bench=ndes cycles=117016 instructions=83050 cache-misses=43
[sample=186] cpu=0 bench=ndes cycles=113303 instructions=83050 cache-misses=43
[sample=187] cpu=0 bench=ndes cycles=110032 instructions=83050 cache-misses=36
[sample=188] cpu=0 bench=ndes cycles=105622 instructions=83050 cache-misses=46
[sample=189] cpu=0 bench=ndes cycles=108654 instructions=83050 cache-misses=43
[sample=190] cpu=0 bench=ndes cycles=108421 instructions=83049 cache-misses=40
[sample=191] cpu=0 bench=ndes cycles=107259 instructions=83050 cache-misses=32
[sample=192] cpu=0 bench=ndes cycles=105667 instructions=83050 cache-misses=38
[sample=193] cpu=0 bench=ndes cycles=108817 instructions=83049 cache-misses=41
[sample=194] cpu=0 bench=ndes cycles=109272 instructions=83051 cache-misses=35
[sample=195] cpu=0 bench=ndes cycles=105647 instructions=83050 cache-misses=37
[sample=196] cpu=0 bench=ndes cycles=106040 instructions=83050 cache-misses=39
[sample=197] cpu=0 bench=ndes cycles=109779 instructions=83049 cache-misses=31
[sample=198] cpu=0 bench=ndes cycles=118415 instructions=83050 cache-misses=35
[sample=199] cpu=0 bench=ndes cycles=106841 instructions=83049 cache-misses=46
[sample=200] cpu=0 bench=ndes cycles=106832 instructions=83049 cache-misses=39
[sample=201] cpu=0 bench=ndes cycles=108977 instructions=83050 cache-misses=45
[sample=202] cpu=0 bench=ndes cycles=107781 instructions=83050 cache-misses=39
[sample=203] cpu=0 bench=ndes cycles=106653 instructions=83050 cache-misses=50
[sample=204] cpu=0 bench=ndes cycles=112757 instructions=83051 cache-misses=46
[sample=205] cpu=0 bench=ndes cycles=111441 instructions=83050 cache-misses=45
[sample=206] cpu=0 bench=ndes cycles=112404 instructions=83050 cache-misses=37
[sample=207] cpu=0 bench=ndes cycles=110377 instructions=83052 cache-misses=42
[sample=208] cpu=0 bench=ndes cycles=105854 instructions=83051 cache-misses=44
[sample=209] cpu=0 bench=ndes cycles=111260 instructions=83052 cache-misses=38
[sample=210] cpu=0 bench=ndes cycles=108409 instructions=83051 cache-misses=36
[sample=211] cpu=0 bench=ndes cycles=111045 instructions=83050 cache-misses=39
[sample=212] cpu=0 bench=ndes cycles=106571 instructions=83049 cache-misses=36
[sample=213] cpu=0 bench=ndes cycles=109436 instructions=83050 cache-misses=42
[sample=214] cpu=0 bench=ndes cycles=112733 instructions=83050 cache-misses=38
[sample=215] cpu=0 bench=ndes cycles=108488 instructions=83049 cache-misses=37
[sample=216] cpu=0 bench=ndes cycles=105501 instructions=83050 cache-misses=38
[sample=217] cpu=0 bench=ndes cycles=111774 instructions=83049 cache-misses=41
[sample=218] cpu=0 bench=ndes cycles=108767 instructions=83050 cache-misses=40
[sample=219] cpu=0 bench=ndes cycles=106066 instructions=83050 cache-misses=39
[sample=220] cpu=0 bench=ndes cycles=106021 instructions=83049 cache-misses=39
[sample=221] cpu=0 bench=ndes cycles=109067 instructions=83049 cache-misses=42
[sample=222] cpu=0 bench=ndes cycles=110829 instructions=83051 cache-misses=36
[sample=223] cpu=0 bench=ndes cycles=105413 instructions=83051 cache-misses=37
[sample=224] cpu=0 bench=ndes cycles=110351 instructions=83049 cache-misses=36
[sample=225] cpu=0 bench=ndes cycles=112344 instructions=83050 cache-misses=51
[sample=226] cpu=0 bench=ndes cycles=118563 instructions=83050 cache-misses=43
[sample=227] cpu=0 bench=ndes cycles=107890 instructions=83051 cache-misses=41
[sample=228] cpu=0 bench=ndes cycles=105531 instructions=83051 cache-misses=43
[sample=229] cpu=0 bench=ndes cycles=106811 instructions=83051 cache-misses=45
[sample=230] cpu=0 bench=ndes cycles=108662 instructions=83050 cache-misses=41
[sample=231] cpu=0 bench=ndes cycles=107093 instructions=83049 cache-misses=43
[sample=232] cpu=0 bench=ndes cycles=105404 instructions=83051 cache-misses=44
[sample=233] cpu=0 bench=ndes cycles=112458 instructions=83051 cache-misses=47
[sample=234] cpu=0 bench=ndes cycles=107421 instructions=83050 cache-misses=37
[sample=235] cpu=0 bench=ndes cycles=105570 instructions=83050 cache-misses=44
[sample=236] cpu=0 bench=ndes cycles=107265 instructions=83050 cache-misses=45
[sample=237] cpu=0 bench=ndes cycles=110193 instructions=83050 cache-misses=35
[sample=238] cpu=0 bench=ndes cycles=107609 instructions=83050 cache-misses=40
[sample=239] cpu=0 bench=ndes cycles=105187 instructions=83049 cache-misses=44
[sample=240] cpu=0 bench=ndes cycles=107759 instructions=83050 cache-misses=42
[sample=241] cpu=0 bench=ndes cycles=109125 instructions=83050 cache-misses=42
[sample=242] cpu=0 bench=ndes cycles=105615 instructions=83052 cache-misses=37
[sample=243] cpu=0 bench=ndes cycles=106086 instructions=83050 cache-misses=41
[sample=244] cpu=0 bench=ndes cycles=112179 instructions=83051 cache-misses=38
[sample=245] cpu=0 bench=ndes cycles=113202 instructions=83050 cache-misses=44
[sample=246] cpu=0 bench=ndes cycles=105274 instructions=83051 cache-misses=38
[sample=247] cpu=0 bench=ndes cycles=110630 instructions=83050 cache-misses=41
[sample=248] cpu=0 bench=ndes cycles=109849 instructions=83050 cache-misses=46
[sample=249] cpu=0 bench=ndes cycles=105395 instructions=83049 cache-misses=33
[sample=250] cpu=0 bench=ndes cycles=105186 instructions=83049 cache-misses=34
[sample=251] cpu=0 bench=ndes cycles=107577 instructions=83050 cache-misses=40
[sample=252] cpu=0 bench=ndes cycles=105936 instructions=83051 cache-misses=38
[sample=253] cpu=0 bench=ndes cycles=105295 instructions=83051 cache-misses=37
[sample=254] cpu=0 bench=ndes cycles=112826 instructions=83050 cache-misses=44
[sample=255] cpu=0 bench=ndes cycles=112944 instructions=83052 cache-misses=41
[sample=256] cpu=0 bench=ndes cycles=105596 instructions=83050 cache-misses=40
[sample=257] cpu=0 bench=ndes cycles=115135 instructions=83051 cache-misses=39
[sample=258] cpu=0 bench=ndes cycles=106672 instructions=83050 cache-misses=35
[sample=259] cpu=0 bench=ndes cycles=105514 instructions=83052 cache-misses=38
[sample=260] cpu=0 bench=ndes cycles=108361 instructions=83051 cache-misses=36
[sample=261] cpu=0 bench=ndes cycles=107763 instructions=83051 cache-misses=36
[sample=262] cpu=0 bench=ndes cycles=105294 instructions=83051 cache-misses=40
[sample=263] cpu=0 bench=ndes cycles=106946 instructions=83049 cache-misses=38
[sample=264] cpu=0 bench=ndes cycles=107427 instructions=83051 cache-misses=40
[sample=265] cpu=0 bench=ndes cycles=105440 instructions=83050 cache-misses=43
[sample=266] cpu=0 bench=ndes cycles=106698 instructions=83051 cache-misses=37
[sample=267] cpu=0 bench=ndes cycles=112484 instructions=83049 cache-misses=45
[sample=268] cpu=0 bench=ndes cycles=110509 instructions=83050 cache-misses=38
[sample=269] cpu=0 bench=ndes cycles=105317 instructions=83050 cache-misses=34
[sample=270] cpu=0 bench=ndes cycles=109846 instructions=83049 cache-misses=40
