# board=imx8mm
# config=LLC
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=cubic (measured)  cpu1=MAX_LLC  cpu2=MAX_LLC  cpu3=MAX_LLC
[sample=243] cpu=0 bench=cubic cycles=2231346 instructions=1454951 cache-misses=14
[sample=244] cpu=0 bench=cubic cycles=2181770 instructions=1454950 cache-misses=12
[sample=245] cpu=0 bench=cubic cycles=2148244 instructions=1454951 cache-misses=17
[sample=246] cpu=0 bench=cubic cycles=2156239 instructions=1454953 cache-misses=11
[sample=247] cpu=0 bench=cubic cycles=2165968 instructions=1454955 cache-misses=19
[sample=248] cpu=0 bench=cubic cycles=2150534 instructions=1454951 cache-misses=12
[sample=249] cpu=0 bench=cubic cycles=2262133 instructions=1454951 cache-misses=15
[sample=250] cpu=0 bench=cubic cycles=2174519 instructions=1454950 cache-misses=10
[sample=251] cpu=0 bench=cubic cycles=2164283 instructions=1454953 cache-misses=20
[sample=252] cpu=0 bench=cubic cycles=2143399 instructions=1454955 cache-misses=16
[sample=253] cpu=0 bench=cubic cycles=2145169 instructions=1454949 cache-misses=9
[sample=254] cpu=0 bench=cubic cycles=2158323 instructions=1454952 cache-misses=19
[sample=255] cpu=0 bench=cubic cycles=2222519 instructions=1454952 cache-misses=13
[sample=256] cpu=0 bench=cubic cycles=2177755 instructions=1454952 cache-misses=11
[sample=257] cpu=0 bench=cubic cycles=2168739 instructions=1454953 cache-misses=13
[sample=258] cpu=0 bench=cubic cycles=2161075 instructions=1454951 cache-misses=17
[sample=259] cpu=0 bench=cubic cycles=2151658 instructions=1454953 cache-misses=11
[sample=260] cpu=0 bench=cubic cycles=2154616 instructions=1454949 cache-misses=7
[sample=261] cpu=0 bench=cubic cycles=2227208 instructions=1454957 cache-misses=12
[sample=262] cpu=0 bench=cubic cycles=2177527 instructions=1454949 cache-misses=12
[sample=263] cpu=0 bench=cubic cycles=2162609 instructions=1454951 cache-misses=13
[sample=264] cpu=0 bench=cubic cycles=2156113 instructions=1454947 cache-misses=13
[sample=265] cpu=0 bench=cubic cycles=2157793 instructions=1454953 cache-misses=16
[sample=266] cpu=0 bench=cubic cycles=2152737 instructions=1454948 cache-misses=12
[sample=267] cpu=0 bench=cubic cycles=2276170 instructions=1454949 cache-misses=20
[sample=268] cpu=0 bench=cubic cycles=2169627 instructions=1454950 cache-misses=14
[sample=269] cpu=0 bench=cubic cycles=2169386 instructions=1454948 cache-misses=12
[sample=270] cpu=0 bench=cubic cycles=2149240 instructions=1454958 cache-misses=11
[sample=271] cpu=0 bench=cubic cycles=2143792 instructions=1454953 cache-misses=9
[sample=272] cpu=0 bench=cubic cycles=2157738 instructions=1454955 cache-misses=15
[sample=273] cpu=0 bench=cubic cycles=2229823 instructions=1454953 cache-misses=15
[sample=274] cpu=0 bench=cubic cycles=2175006 instructions=1454953 cache-misses=11
[sample=275] cpu=0 bench=cubic cycles=2151823 instructions=1454955 cache-misses=14
[sample=276] cpu=0 bench=cubic cycles=2160656 instructions=1454960 cache-misses=16
[sample=277] cpu=0 bench=cubic cycles=2144604 instructions=1454952 cache-misses=12
[sample=278] cpu=0 bench=cubic cycles=2150034 instructions=1454950 cache-misses=13
[sample=279] cpu=0 bench=cubic cycles=2222276 instructions=1454956 cache-misses=11
[sample=280] cpu=0 bench=cubic cycles=2169163 instructions=1454953 cache-misses=10
[sample=281] cpu=0 bench=cubic cycles=2162791 instructions=1454950 cache-misses=13
[sample=282] cpu=0 bench=cubic cycles=2162805 instructions=1454953 cache-misses=8
[sample=283] cpu=0 bench=cubic cycles=2162042 instructions=1454953 cache-misses=12
[sample=284] cpu=0 bench=cubic cycles=2156375 instructions=1454951 cache-misses=12
[sample=285] cpu=0 bench=cubic cycles=2273340 instructions=1454952 cache-misses=11
[sample=286] cpu=0 bench=cubic cycles=2172648 instructions=1454952 cache-misses=14
[sample=287] cpu=0 bench=cubic cycles=2168559 instructions=1454951 cache-misses=16
[sample=288] cpu=0 bench=cubic cycles=2147756 instructions=1454954 cache-misses=12
[sample=289] cpu=0 bench=cubic cycles=2150877 instructions=1454952 cache-misses=10
