# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fft (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=105] cpu=0 bench=fft cycles=1024942 instructions=771441 cache-misses=115
[sample=106] cpu=0 bench=fft cycles=1032034 instructions=771089 cache-misses=127
[sample=107] cpu=0 bench=fft cycles=1100027 instructions=771086 cache-misses=238
[sample=108] cpu=0 bench=fft cycles=1035677 instructions=771102 cache-misses=124
[sample=109] cpu=0 bench=fft cycles=1054791 instructions=771087 cache-misses=180
[sample=110] cpu=0 bench=fft cycles=1052635 instructions=771104 cache-misses=160
[sample=111] cpu=0 bench=fft cycles=1055699 instructions=771081 cache-misses=149
[sample=112] cpu=0 bench=fft cycles=1071187 instructions=771095 cache-misses=126
[sample=113] cpu=0 bench=fft cycles=1032735 instructions=771088 cache-misses=111
[sample=114] cpu=0 bench=fft cycles=1025501 instructions=771089 cache-misses=102
[sample=115] cpu=0 bench=fft cycles=1025027 instructions=771091 cache-misses=131
[sample=116] cpu=0 bench=fft cycles=1048085 instructions=771096 cache-misses=199
[sample=117] cpu=0 bench=fft cycles=1331593 instructions=771096 cache-misses=191
[sample=118] cpu=0 bench=fft cycles=1024627 instructions=771098 cache-misses=106
[sample=119] cpu=0 bench=fft cycles=1035826 instructions=771082 cache-misses=110
[sample=120] cpu=0 bench=fft cycles=1049981 instructions=771083 cache-misses=125
[sample=121] cpu=0 bench=fft cycles=1020117 instructions=771092 cache-misses=109
[sample=122] cpu=0 bench=fft cycles=1020041 instructions=771101 cache-misses=152
[sample=123] cpu=0 bench=fft cycles=1001113 instructions=771100 cache-misses=92
[sample=124] cpu=0 bench=fft cycles=979843 instructions=771099 cache-misses=82
[sample=125] cpu=0 bench=fft cycles=998206 instructions=771092 cache-misses=167
[sample=126] cpu=0 bench=fft cycles=994674 instructions=771094 cache-misses=138
[sample=127] cpu=0 bench=fft cycles=1007931 instructions=771087 cache-misses=195
[sample=128] cpu=0 bench=fft cycles=1053267 instructions=771093 cache-misses=176
[sample=129] cpu=0 bench=fft cycles=1064899 instructions=771105 cache-misses=145
[sample=130] cpu=0 bench=fft cycles=1070876 instructions=771091 cache-misses=173
[sample=131] cpu=0 bench=fft cycles=1176808 instructions=771085 cache-misses=108
[sample=132] cpu=0 bench=fft cycles=1053831 instructions=771095 cache-misses=146
[sample=133] cpu=0 bench=fft cycles=1075976 instructions=771089 cache-misses=146
[sample=134] cpu=0 bench=fft cycles=1032407 instructions=771092 cache-misses=119
[sample=135] cpu=0 bench=fft cycles=1081758 instructions=771090 cache-misses=159
[sample=136] cpu=0 bench=fft cycles=1054278 instructions=771090 cache-misses=188
[sample=137] cpu=0 bench=fft cycles=1031192 instructions=771101 cache-misses=164
