# board=imx8mm
# config=BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=prime (measured)  cpu1=MAX_BUS  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=113] cpu=0 bench=prime cycles=1886 instructions=672 cache-misses=5
[sample=114] cpu=0 bench=prime cycles=2033 instructions=672 cache-misses=4
[sample=115] cpu=0 bench=prime cycles=2118 instructions=672 cache-misses=5
[sample=116] cpu=0 bench=prime cycles=2206 instructions=672 cache-misses=7
[sample=117] cpu=0 bench=prime cycles=1925 instructions=670 cache-misses=4
[sample=118] cpu=0 bench=prime cycles=2480 instructions=670 cache-misses=7
[sample=119] cpu=0 bench=prime cycles=2170 instructions=670 cache-misses=6
[sample=120] cpu=0 bench=prime cycles=2018 instructions=672 cache-misses=5
[sample=121] cpu=0 bench=prime cycles=2208 instructions=672 cache-misses=5
[sample=122] cpu=0 bench=prime cycles=1283 instructions=672 cache-misses=5
[sample=123] cpu=0 bench=prime cycles=6775 instructions=672 cache-misses=8
[sample=124] cpu=0 bench=prime cycles=2441 instructions=673 cache-misses=5
[sample=125] cpu=0 bench=prime cycles=2236 instructions=673 cache-misses=6
[sample=126] cpu=0 bench=prime cycles=3021 instructions=672 cache-misses=5
[sample=127] cpu=0 bench=prime cycles=2965 instructions=672 cache-misses=5
[sample=128] cpu=0 bench=prime cycles=3376 instructions=672 cache-misses=6
[sample=129] cpu=0 bench=prime cycles=1977 instructions=670 cache-misses=5
[sample=130] cpu=0 bench=prime cycles=2543 instructions=670 cache-misses=7
[sample=131] cpu=0 bench=prime cycles=2092 instructions=672 cache-misses=6
[sample=132] cpu=0 bench=prime cycles=2432 instructions=673 cache-misses=5
[sample=133] cpu=0 bench=prime cycles=2594 instructions=672 cache-misses=5
[sample=134] cpu=0 bench=prime cycles=2231 instructions=672 cache-misses=4
[sample=135] cpu=0 bench=prime cycles=2725 instructions=672 cache-misses=6
[sample=136] cpu=0 bench=prime cycles=1753 instructions=670 cache-misses=4
[sample=137] cpu=0 bench=prime cycles=2273 instructions=670 cache-misses=5
[sample=138] cpu=0 bench=prime cycles=2875 instructions=672 cache-misses=6
[sample=139] cpu=0 bench=prime cycles=1554 instructions=672 cache-misses=6
[sample=140] cpu=0 bench=prime cycles=2206 instructions=673 cache-misses=3
[sample=141] cpu=0 bench=prime cycles=1835 instructions=674 cache-misses=6
[sample=142] cpu=0 bench=prime cycles=2637 instructions=672 cache-misses=6
[sample=143] cpu=0 bench=prime cycles=2613 instructions=670 cache-misses=3
[sample=144] cpu=0 bench=prime cycles=2012 instructions=670 cache-misses=3
[sample=145] cpu=0 bench=prime cycles=2489 instructions=671 cache-misses=4
[sample=146] cpu=0 bench=prime cycles=2321 instructions=672 cache-misses=4
[sample=147] cpu=0 bench=prime cycles=2596 instructions=673 cache-misses=6
[sample=148] cpu=0 bench=prime cycles=2961 instructions=673 cache-misses=6
[sample=149] cpu=0 bench=prime cycles=2799 instructions=673 cache-misses=6
[sample=150] cpu=0 bench=prime cycles=3265 instructions=672 cache-misses=6
[sample=151] cpu=0 bench=prime cycles=1687 instructions=670 cache-misses=7
[sample=152] cpu=0 bench=prime cycles=2875 instructions=673 cache-misses=6
[sample=153] cpu=0 bench=prime cycles=2639 instructions=674 cache-misses=5
[sample=154] cpu=0 bench=prime cycles=2605 instructions=672 cache-misses=7
[sample=155] cpu=0 bench=prime cycles=2608 instructions=672 cache-misses=6
[sample=156] cpu=0 bench=prime cycles=2313 instructions=672 cache-misses=7
[sample=157] cpu=0 bench=prime cycles=2396 instructions=672 cache-misses=5
[sample=158] cpu=0 bench=prime cycles=2603 instructions=670 cache-misses=5
[sample=159] cpu=0 bench=prime cycles=3881 instructions=670 cache-misses=6
[sample=160] cpu=0 bench=prime cycles=2004 instructions=672 cache-misses=6
[sample=161] cpu=0 bench=prime cycles=13828 instructions=673 cache-misses=7
[sample=162] cpu=0 bench=prime cycles=3319 instructions=672 cache-misses=7
[sample=163] cpu=0 bench=prime cycles=2892 instructions=672 cache-misses=5
[sample=164] cpu=0 bench=prime cycles=1742 instructions=672 cache-misses=6
[sample=165] cpu=0 bench=prime cycles=2226 instructions=672 cache-misses=6
[sample=166] cpu=0 bench=prime cycles=2526 instructions=670 cache-misses=5
[sample=167] cpu=0 bench=prime cycles=1090 instructions=670 cache-misses=5
[sample=168] cpu=0 bench=prime cycles=1055 instructions=671 cache-misses=6
[sample=169] cpu=0 bench=prime cycles=2566 instructions=672 cache-misses=7
[sample=170] cpu=0 bench=prime cycles=2461 instructions=671 cache-misses=4
[sample=171] cpu=0 bench=prime cycles=3373 instructions=672 cache-misses=6
[sample=172] cpu=0 bench=prime cycles=2088 instructions=673 cache-misses=7
[sample=173] cpu=0 bench=prime cycles=2645 instructions=673 cache-misses=6
[sample=174] cpu=0 bench=prime cycles=2663 instructions=672 cache-misses=5
[sample=175] cpu=0 bench=prime cycles=2514 instructions=672 cache-misses=4
[sample=176] cpu=0 bench=prime cycles=4896 instructions=670 cache-misses=7
[sample=177] cpu=0 bench=prime cycles=1069 instructions=670 cache-misses=5
[sample=178] cpu=0 bench=prime cycles=4143 instructions=673 cache-misses=7
[sample=179] cpu=0 bench=prime cycles=3255 instructions=672 cache-misses=4
[sample=180] cpu=0 bench=prime cycles=2669 instructions=672 cache-misses=7
[sample=181] cpu=0 bench=prime cycles=1636 instructions=673 cache-misses=4
[sample=182] cpu=0 bench=prime cycles=2754 instructions=673 cache-misses=6
[sample=183] cpu=0 bench=prime cycles=1644 instructions=674 cache-misses=5
[sample=184] cpu=0 bench=prime cycles=2183 instructions=672 cache-misses=5
[sample=185] cpu=0 bench=prime cycles=1097 instructions=673 cache-misses=5
[sample=186] cpu=0 bench=prime cycles=2597 instructions=672 cache-misses=6
[sample=187] cpu=0 bench=prime cycles=2567 instructions=671 cache-misses=5
[sample=188] cpu=0 bench=prime cycles=1988 instructions=672 cache-misses=5
[sample=189] cpu=0 bench=prime cycles=2977 instructions=673 cache-misses=4
[sample=190] cpu=0 bench=prime cycles=3021 instructions=674 cache-misses=6
[sample=191] cpu=0 bench=prime cycles=2417 instructions=672 cache-misses=5
[sample=192] cpu=0 bench=prime cycles=2580 instructions=673 cache-misses=5
[sample=193] cpu=0 bench=prime cycles=2496 instructions=672 cache-misses=6
[sample=194] cpu=0 bench=prime cycles=1623 instructions=670 cache-misses=4
[sample=195] cpu=0 bench=prime cycles=1040 instructions=672 cache-misses=5
[sample=196] cpu=0 bench=prime cycles=2447 instructions=670 cache-misses=5
[sample=197] cpu=0 bench=prime cycles=3037 instructions=670 cache-misses=7
[sample=198] cpu=0 bench=prime cycles=1934 instructions=672 cache-misses=5
[sample=199] cpu=0 bench=prime cycles=2785 instructions=673 cache-misses=6
[sample=200] cpu=0 bench=prime cycles=2717 instructions=671 cache-misses=6
[sample=201] cpu=0 bench=prime cycles=1682 instructions=672 cache-misses=5
[sample=202] cpu=0 bench=prime cycles=2295 instructions=672 cache-misses=6
[sample=203] cpu=0 bench=prime cycles=3453 instructions=670 cache-misses=6
[sample=204] cpu=0 bench=prime cycles=1161 instructions=670 cache-misses=6
[sample=205] cpu=0 bench=prime cycles=1921 instructions=672 cache-misses=4
[sample=206] cpu=0 bench=prime cycles=1843 instructions=673 cache-misses=5
[sample=207] cpu=0 bench=prime cycles=3282 instructions=672 cache-misses=4
[sample=208] cpu=0 bench=prime cycles=11546 instructions=672 cache-misses=5
[sample=209] cpu=0 bench=prime cycles=2464 instructions=673 cache-misses=6
[sample=210] cpu=0 bench=prime cycles=1890 instructions=672 cache-misses=5
[sample=211] cpu=0 bench=prime cycles=3441 instructions=670 cache-misses=6
[sample=212] cpu=0 bench=prime cycles=2481 instructions=670 cache-misses=5
[sample=213] cpu=0 bench=prime cycles=2397 instructions=672 cache-misses=7
[sample=214] cpu=0 bench=prime cycles=3506 instructions=672 cache-misses=6
[sample=215] cpu=0 bench=prime cycles=3924 instructions=674 cache-misses=5
[sample=216] cpu=0 bench=prime cycles=4796 instructions=672 cache-misses=7
[sample=217] cpu=0 bench=prime cycles=2279 instructions=672 cache-misses=4
[sample=218] cpu=0 bench=prime cycles=2910 instructions=672 cache-misses=5
[sample=219] cpu=0 bench=prime cycles=1748 instructions=672 cache-misses=6
[sample=220] cpu=0 bench=prime cycles=1069 instructions=672 cache-misses=5
[sample=221] cpu=0 bench=prime cycles=1105 instructions=673 cache-misses=6
[sample=222] cpu=0 bench=prime cycles=1139 instructions=674 cache-misses=6
[sample=223] cpu=0 bench=prime cycles=2422 instructions=673 cache-misses=5
[sample=224] cpu=0 bench=prime cycles=1831 instructions=672 cache-misses=5
[sample=225] cpu=0 bench=prime cycles=3215 instructions=672 cache-misses=5
